contestantId,team_name,id,eventId,typeId,periodId,timeMin,timeSec,playerName,playerId,outcome,x,y,timeStamp,lastModified,assist,qualifier,match_id,label,league_name,date,country,15,17,18,19,20,21,22,23,24,25,29,56,60,63,64,72,73,74,75,76,77,78,80,81,82,83,102,103,108,114,136,146,147,153,154,160,214,215,230,231,233,276,321,322,323,326,327,328,338,374,375,391,395,396,458,sequenceId,possessionId,keyPass,140,141,318,210,6,9,26,107,16,85,100,138,139,216,217,274,324,28,79,84,89,280,281,282,353,390,472,121,133,61,273,87,101,484,86,120,62,468,69,192,65,68,314
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2701841489,9,13,1,0,59,L. Jensen,139g7ilwvcpl519v3scnweg2d,1,83.3,74.1,2024-07-19T17:00:59.690,2024-07-26T13:29:25,1.0,"{""id"": 5109071931, ""qualifierId"": 64}",5v3djdmu6nvwdt4167su2gkk4,Vendsyssel vs Roskilde,Challenger_Pro_League,2024-07-19,BEL,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,true,NaN,true,Center,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,30.1,59.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,98.4,52.9,NaN,NaN,0.006888407748192549,NaN,NaN,3,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bd4qakf7j0wwie8wke9km7uj8,Roskilde,2701841867,27,15,1,2,24,R. Arabaci,7h02v4ymnko5fh01iylbh34es,1,86.5,63.7,2024-07-19T17:02:25.720,2024-07-19T17:03:36,1.0,"{""id"": 5109074293, ""qualifierId"": 102, ""value"": ""50.3""}",5v3djdmu6nvwdt4167su2gkk4,Vendsyssel vs Roskilde,Challenger_Pro_League,2024-07-19,BEL,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,true,Center,NaN,NaN,true,true,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,true,NaN,50.3,19,NaN,NaN,NaN,91.7,58.5,NaN,NaN,NaN,NaN,true,98.1,54.5,29,NaN,0.13243672251701355,NaN,NaN,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2701844599,110,13,1,11,11,O. Jebali,18vvlxsaoloypja4fdddj687o,1,66.4,68.1,2024-07-19T17:11:11.817,2024-07-19T17:12:31,NaN,"{""id"": 5109090695, ""qualifierId"": 231, ""value"": ""50.4""}",5v3djdmu6nvwdt4167su2gkk4,Vendsyssel vs Roskilde,Challenger_Pro_League,2024-07-19,BEL,NaN,NaN,NaN,true,true,NaN,NaN,NaN,NaN,NaN,NaN,Center,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.5,4.2,NaN,NaN,NaN,90.2,0.0,true,NaN,true,NaN,true,98.5,50.4,NaN,true,0.010964472778141499,NaN,NaN,1,3,true,NaN,NaN,NaN,NaN,NaN,NaN,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2701846591,154,13,1,17,34,L. Jensen,139g7ilwvcpl519v3scnweg2d,1,96.8,43.0,2024-07-19T17:17:34.999,2024-07-19T17:18:47,1.0,"{""id"": 5109101681, ""qualifierId"": 74}",5v3djdmu6nvwdt4167su2gkk4,Vendsyssel vs Roskilde,Challenger_Pro_League,2024-07-19,BEL,NaN,NaN,NaN,NaN,true,NaN,true,NaN,NaN,NaN,true,Center,true,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,44.2,68.1,true,NaN,NaN,NaN,NaN,NaN,true,NaN,true,NaN,99.3,48.6,NaN,NaN,0.236813485622406,NaN,NaN,2,1,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bd4qakf7j0wwie8wke9km7uj8,Roskilde,2701849197,257,13,1,25,56,E. Nielsen,7pnxa8wzxx5qxevcckxdd62tx,1,80.6,50.1,2024-07-19T17:25:57.193,2024-07-22T12:29:34,1.0,"{""id"": 5109116287, ""qualifierId"": 215}",5v3djdmu6nvwdt4167su2gkk4,Vendsyssel vs Roskilde,Challenger_Pro_League,2024-07-19,BEL,NaN,NaN,true,NaN,NaN,NaN,true,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,true,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,66.2,27.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,97.1,48.0,NaN,NaN,0.08764475584030151,NaN,NaN,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bd4qakf7j0wwie8wke9km7uj8,Roskilde,2701850541,292,15,1,29,59,O. Juul,aejgqvdw1jftxaa538kaa15w4,1,85.5,69.7,2024-07-19T17:29:59.961,2024-07-22T12:29:36,1.0,"{""id"": 5109124147, ""qualifierId"": 233, ""value"": ""266""}",5v3djdmu6nvwdt4167su2gkk4,Vendsyssel vs Roskilde,Challenger_Pro_League,2024-07-19,BEL,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,true,Center,NaN,NaN,true,true,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,53.2,13.3,NaN,NaN,NaN,98.0,52.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,266,NaN,0.055333491414785385,0.098,NaN,1,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2701851467,306,15,1,32,49,M. Lassen,duahzgqspyuy2gu31u3s8ky96,1,81.3,24.6,2024-07-19T17:32:49.987,2024-07-22T13:30:30,1.0,"{""id"": 5109129725, ""qualifierId"": 29}",5v3djdmu6nvwdt4167su2gkk4,Vendsyssel vs Roskilde,Challenger_Pro_League,2024-07-19,BEL,NaN,NaN,true,NaN,true,NaN,true,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,true,NaN,46.6,19,NaN,NaN,NaN,84.5,28.3,NaN,NaN,NaN,NaN,true,98.2,45.1,302,NaN,0.01389803271740675,NaN,NaN,3,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bd4qakf7j0wwie8wke9km7uj8,Roskilde,2701852931,339,13,1,36,45,S. Baskaya,1el3mu4rgcx8tebrawgfvynf8,1,85.2,32.2,2024-07-19T17:36:45.911,2024-07-19T17:37:57,1.0,"{""id"": 5109138187, ""qualifierId"": 231, ""value"": ""48.0""}",5v3djdmu6nvwdt4167su2gkk4,Vendsyssel vs Roskilde,Challenger_Pro_League,2024-07-19,BEL,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,true,Center,NaN,true,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,57.1,9.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,98.0,48.0,NaN,NaN,0.03932776302099228,NaN,NaN,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bd4qakf7j0wwie8wke9km7uj8,Roskilde,2701853255,348,13,1,37,46,A. Maarup,cf6zq49y8v1ekw07e7yi3uac,1,80.3,51.0,2024-07-19T17:37:46.702,2024-07-22T13:30:20,1.0,"{""id"": 5109140191, ""qualifierId"": 231, ""value"": ""50.2""}",5v3djdmu6nvwdt4167su2gkk4,Vendsyssel vs Roskilde,Challenger_Pro_League,2024-07-19,BEL,NaN,NaN,true,NaN,true,NaN,true,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,46.4,68.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,97.7,50.2,NaN,NaN,0.03584021329879761,NaN,NaN,3,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2701852345,348,13,1,35,12,L. Jensen,139g7ilwvcpl519v3scnweg2d,1,90.9,32.4,2024-07-19T17:35:13.184,2024-07-19T17:36:25,1.0,"{""id"": 5109134393, ""qualifierId"": 63}",5v3djdmu6nvwdt4167su2gkk4,Vendsyssel vs Roskilde,Challenger_Pro_League,2024-07-19,BEL,NaN,NaN,NaN,NaN,true,NaN,true,NaN,NaN,NaN,true,Center,NaN,true,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,69.4,8.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,99.0,46.0,NaN,NaN,0.09193746745586395,NaN,NaN,1,2,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
