contestantId,team_name,id,eventId,typeId,periodId,timeMin,timeSec,playerName,playerId,outcome,x,y,timeStamp,lastModified,assist,qualifier,match_id,label,date,15,17,18,19,20,21,22,23,24,25,29,56,60,63,64,72,73,74,75,76,77,78,80,81,82,83,102,103,108,136,146,147,153,154,214,215,230,231,233,276,321,322,323,326,327,328,338,374,375,391,458,sequenceId,possessionId,keyPass,140,141,318,210,6,9,26,107
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2701841489,9,13,1,0,59,L. Jensen,139g7ilwvcpl519v3scnweg2d,1,83.3,74.1,2024-07-19T17:00:59.690,2024-07-19T17:02:08,1.0,"{""id"": 5109071931, ""qualifierId"": 64}",5v3djdmu6nvwdt4167su2gkk4,Vendsyssel vs Roskilde,2024-07-19,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,true,NaN,true,Center,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,30.1,59.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,98.4,52.9,NaN,NaN,0.008040718734264374,NaN,NaN,3,2,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,
bd4qakf7j0wwie8wke9km7uj8,Roskilde,2701841867,27,15,1,2,24,R. Arabaci,7h02v4ymnko5fh01iylbh34es,1,86.5,63.7,2024-07-19T17:02:25.720,2024-07-19T17:03:36,1.0,"{""id"": 5109074293, ""qualifierId"": 102, ""value"": ""50.3""}",5v3djdmu6nvwdt4167su2gkk4,Vendsyssel vs Roskilde,2024-07-19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,true,Center,NaN,NaN,true,true,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,true,NaN,50.3,19,NaN,NaN,91.7,58.5,NaN,NaN,NaN,NaN,98.1,54.5,29,NaN,0.13243672251701355,NaN,NaN,2,2,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2701844599,110,13,1,11,11,O. Jebali,18vvlxsaoloypja4fdddj687o,1,66.4,68.1,2024-07-19T17:11:11.817,2024-07-19T17:12:31,NaN,"{""id"": 5109090689, ""qualifierId"": 276}",5v3djdmu6nvwdt4167su2gkk4,Vendsyssel vs Roskilde,2024-07-19,NaN,NaN,NaN,true,true,NaN,true,NaN,NaN,NaN,NaN,Center,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.5,4.2,NaN,NaN,90.2,0.0,true,NaN,NaN,true,98.5,50.4,NaN,true,0.010964472778141499,NaN,NaN,1,3,true,NaN,NaN,NaN,NaN,true,,,,,,,,,,,
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2701846591,154,13,1,17,34,L. Jensen,139g7ilwvcpl519v3scnweg2d,1,96.8,43.0,2024-07-19T17:17:34.999,2024-07-19T17:18:47,1.0,"{""id"": 5109101699, ""qualifierId"": 328}",5v3djdmu6nvwdt4167su2gkk4,Vendsyssel vs Roskilde,2024-07-19,NaN,NaN,NaN,NaN,true,NaN,true,NaN,NaN,NaN,true,Center,true,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,44.2,68.1,true,NaN,NaN,NaN,NaN,true,true,NaN,99.3,48.6,NaN,NaN,0.236813485622406,NaN,NaN,2,1,true,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,
bd4qakf7j0wwie8wke9km7uj8,Roskilde,2701849197,257,13,1,25,56,E. Nielsen,7pnxa8wzxx5qxevcckxdd62tx,1,76.8,43.1,2024-07-19T17:25:57.193,2024-07-19T17:27:07,1.0,"{""id"": 5109116289, ""qualifierId"": 230, ""value"": ""97.1""}",5v3djdmu6nvwdt4167su2gkk4,Vendsyssel vs Roskilde,2024-07-19,NaN,NaN,true,NaN,NaN,NaN,true,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,true,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,66.2,27.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,97.1,48.0,NaN,NaN,0.04179101437330246,NaN,NaN,2,2,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,
bd4qakf7j0wwie8wke9km7uj8,Roskilde,2701850541,292,15,1,29,59,O. Juul,aejgqvdw1jftxaa538kaa15w4,1,85.5,69.7,2024-07-19T17:29:59.961,2024-07-19T17:31:11,1.0,"{""id"": 5109124117, ""qualifierId"": 76}",5v3djdmu6nvwdt4167su2gkk4,Vendsyssel vs Roskilde,2024-07-19,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,true,Center,NaN,NaN,true,true,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,53.2,13.3,NaN,NaN,98.0,52.0,NaN,NaN,NaN,NaN,NaN,NaN,266,NaN,0.034000396728515625,0.098,NaN,2,2,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2701851467,306,15,1,32,49,M. Lassen,duahzgqspyuy2gu31u3s8ky96,1,83.3,23.1,2024-07-19T17:32:49.987,2024-07-19T17:34:02,1.0,"{""id"": 5109129735, ""qualifierId"": 215}",5v3djdmu6nvwdt4167su2gkk4,Vendsyssel vs Roskilde,2024-07-19,NaN,NaN,NaN,NaN,true,NaN,true,NaN,NaN,NaN,true,Center,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,true,NaN,51.5,19,NaN,NaN,86.2,28.0,NaN,NaN,NaN,true,98.2,45.1,302,NaN,0.019944343715906143,NaN,NaN,2,2,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,
bd4qakf7j0wwie8wke9km7uj8,Roskilde,2701852931,339,13,1,36,45,S. Baskaya,1el3mu4rgcx8tebrawgfvynf8,1,85.2,32.2,2024-07-19T17:36:45.911,2024-07-19T17:37:57,1.0,"{""id"": 5109138167, ""qualifierId"": 29}",5v3djdmu6nvwdt4167su2gkk4,Vendsyssel vs Roskilde,2024-07-19,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,true,Center,NaN,true,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,57.1,9.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,98.0,48.0,NaN,NaN,0.03932776302099228,NaN,NaN,2,2,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,
bd4qakf7j0wwie8wke9km7uj8,Roskilde,2701853255,348,13,1,37,46,A. Maarup,cf6zq49y8v1ekw07e7yi3uac,1,80.3,51.0,2024-07-19T17:37:46.702,2024-07-19T17:38:56,1.0,"{""id"": 5109140191, ""qualifierId"": 231, ""value"": ""50.2""}",5v3djdmu6nvwdt4167su2gkk4,Vendsyssel vs Roskilde,2024-07-19,NaN,NaN,true,NaN,true,NaN,true,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,46.4,68.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,97.7,50.2,NaN,NaN,0.05981453135609627,NaN,NaN,2,2,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2701852345,348,13,1,35,12,L. Jensen,139g7ilwvcpl519v3scnweg2d,1,90.9,32.4,2024-07-19T17:35:13.184,2024-07-19T17:36:25,1.0,"{""id"": 5109134393, ""qualifierId"": 63}",5v3djdmu6nvwdt4167su2gkk4,Vendsyssel vs Roskilde,2024-07-19,NaN,NaN,NaN,NaN,true,NaN,true,NaN,NaN,NaN,true,Center,NaN,true,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,69.4,8.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,99.0,46.0,NaN,NaN,0.09193746745586395,NaN,NaN,1,2,true,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,
