contestantId,team_name,id,eventId,typeId,periodId,timeMin,timeSec,playerName,playerId,outcome,x,y,timeStamp,lastModified,qualifier,assist,match_id,label,league_name,date,country,9,15,17,18,20,22,24,25,26,29,56,61,62,64,72,73,75,78,80,81,82,83,102,103,108,114,136,146,147,153,154,160,214,215,230,231,233,280,281,282,321,322,323,326,327,328,338,353,374,375,390,458,472,sequenceId,possessionId,keyPass,140,141,318,210,23,6,107,16,63,65,74,76,77,86,100,101,113,120,391,79,87,121,133,276,395,396,60,84,254,324,468,139,89
eq2jaitwsokibzx3wy7kb5gqp,Middelfart,2827839135,114,16,1,11,45,B. Bytyqi,a5ah5r5vl0pjgt655lc5qqvop,1,91.8,48.7,2025-07-19T12:11:59.178,2025-07-19T12:15:58,"{""id"": 5800137443, ""qualifierId"": 22}",NaN,bt425ex9tsvly0uo72zljc74k,Hillerød vs Middelfart,1_Division,2025-07-19,DNK,NaN,NaN,true,NaN,true,true,NaN,NaN,NaN,NaN,Center,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,51.4,8.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,98.2,48.7,NaN,NaN,NaN,NaN,0.30881720781326294,0.4792770445346832,NaN,1,2,true,NaN,NaN,2025-07-19 13:11:58.659,11:45.115,NaN,true,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aqtkb4mgrz8c6iqfufj6qjbv9,Hillerød,2827840753,199,15,1,16,7,T. Arndal,1n4eldqa7h9jvcx1693zqu06i,1,90.8,48.5,2025-07-19T12:16:21.528,2025-07-19T12:17:29,"{""id"": 5800146277, ""qualifierId"": 22}",1.0,bt425ex9tsvly0uo72zljc74k,Hillerød vs Middelfart,1_Division,2025-07-19,DNK,NaN,true,true,NaN,NaN,true,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,50.2,17.1,NaN,NaN,NaN,99.0,50.0,NaN,true,NaN,NaN,NaN,NaN,NaN,140,NaN,NaN,NaN,0.06479651480913162,0.020725643262267113,NaN,3,2,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aqtkb4mgrz8c6iqfufj6qjbv9,Hillerød,2827842961,247,16,1,21,12,M. Etim,1fjkjzsei9slx2t4zhsqdkve1,1,88.5,50.0,2025-07-19T12:21:25.863,2025-07-19T12:23:15,"{""id"": 5800158781, ""qualifierId"": 472, ""value"": ""244""}",NaN,bt425ex9tsvly0uo72zljc74k,Hillerød vs Middelfart,1_Division,2025-07-19,DNK,true,NaN,true,NaN,true,NaN,NaN,NaN,NaN,NaN,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,47.0,13.3,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,true,NaN,98.8,50.2,NaN,PENALTY_WON,210068,6463,0.7884,0.6637471318244934,NaN,1,1,NaN,NaN,174,2025-07-19 13:21:25.139,21:11.595,165876,true,244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aqtkb4mgrz8c6iqfufj6qjbv9,Hillerød,2827843571,277,13,1,23,32,M. Etim,1fjkjzsei9slx2t4zhsqdkve1,1,91.5,51.1,2025-07-19T12:23:45.653,2025-07-19T12:24:52,"{""id"": 5800161765, ""qualifierId"": 321, ""value"": ""0.05155250057578087""}",1.0,bt425ex9tsvly0uo72zljc74k,Hillerød vs Middelfart,1_Division,2025-07-19,DNK,NaN,true,true,NaN,NaN,true,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,39.3,25,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,98.2,51.1,NaN,NaN,NaN,NaN,0.05155250057578087,0.0,NaN,1,1,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aqtkb4mgrz8c6iqfufj6qjbv9,Hillerød,2827844859,305,13,1,27,44,M. Mouritz,ezbixgm2km8iapnsl57bn4wkp,1,86.8,63.9,2025-07-19T12:27:57.747,2025-07-19T12:29:36,"{""id"": 4611686018471105425, ""qualifierId"": 322, ""value"": ""0.0""}",1.0,bt425ex9tsvly0uo72zljc74k,Hillerød vs Middelfart,1_Division,2025-07-19,DNK,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,true,Center,NaN,NaN,true,true,NaN,true,NaN,NaN,NaN,NaN,NaN,37.5,20.8,true,true,NaN,89.9,52.7,true,true,NaN,NaN,NaN,99.0,51.3,NaN,NaN,NaN,NaN,0.036277785897254944,0.0,NaN,2,2,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aqtkb4mgrz8c6iqfufj6qjbv9,Hillerød,2827845213,307,15,1,28,58,A. Justinussen,uiyol728wan4mxco2foplknp,1,68.5,46.9,2025-07-19T12:29:12.019,2025-07-19T12:30:45,"{""id"": 5800171971, ""qualifierId"": 20}",NaN,bt425ex9tsvly0uo72zljc74k,Hillerød vs Middelfart,1_Division,2025-07-19,DNK,NaN,NaN,NaN,true,true,NaN,NaN,NaN,true,NaN,Center,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,true,NaN,51.0,19,NaN,NaN,NaN,78.5,48.2,NaN,NaN,NaN,NaN,NaN,98.6,49.6,210,NaN,NaN,NaN,0.03711044043302536,0.0,NaN,1,3,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aqtkb4mgrz8c6iqfufj6qjbv9,Hillerød,2827845333,313,15,1,29,18,M. Etim,1fjkjzsei9slx2t4zhsqdkve1,1,98.3,61.2,2025-07-19T12:29:31.581,2025-07-19T12:55:06,"{""id"": 5800171647, ""qualifierId"": 56, ""value"": ""Center""}",NaN,bt425ex9tsvly0uo72zljc74k,Hillerød vs Middelfart,1_Division,2025-07-19,DNK,NaN,NaN,NaN,NaN,true,true,NaN,NaN,NaN,NaN,Center,true,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,50.3,2.5,NaN,NaN,NaN,99.1,57.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,214,NaN,NaN,NaN,0.06567288935184479,0.11284444481134415,NaN,3,2,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aqtkb4mgrz8c6iqfufj6qjbv9,Hillerød,2827852843,513,15,1,45,4,W. Glindtvad,559w0q3q2smb3aeotyi724s9g,1,91.1,47.4,2025-07-19T12:45:18.374,2025-07-19T12:50:48,"{""id"": 4611686018471105673, ""qualifierId"": 322, ""value"": ""0.0""}",1.0,bt425ex9tsvly0uo72zljc74k,Hillerød vs Middelfart,1_Division,2025-07-19,DNK,NaN,true,true,NaN,NaN,NaN,NaN,true,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,true,NaN,50.3,19,NaN,NaN,NaN,93.6,48.2,NaN,true,NaN,NaN,NaN,98.1,48.0,334,NaN,NaN,NaN,0.06256716698408127,0.0,NaN,3,2,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aqtkb4mgrz8c6iqfufj6qjbv9,Hillerød,2827859051,540,13,2,46,29,T. Arndal,1n4eldqa7h9jvcx1693zqu06i,1,82.4,39.9,2025-07-19T13:05:35.397,2025-07-19T13:06:43,"{""id"": 5800248355, ""qualifierId"": 327, ""value"": ""2""}",1.0,bt425ex9tsvly0uo72zljc74k,Hillerød vs Middelfart,1_Division,2025-07-19,DNK,NaN,NaN,NaN,true,NaN,true,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,true,true,NaN,NaN,NaN,NaN,NaN,NaN,60.3,16.7,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,98.2,48.4,NaN,NaN,NaN,NaN,0.03559403494000435,0.0,NaN,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eq2jaitwsokibzx3wy7kb5gqp,Middelfart,2827873247,575,13,2,73,44,L. Jørgensen,5zvfdowqpiz1ttg20mra6u2hg,1,78.1,60.0,2025-07-19T13:32:50.830,2025-07-19T13:34:04,"{""id"": 5800327975, ""qualifierId"": 56, ""value"": ""Center""}",NaN,bt425ex9tsvly0uo72zljc74k,Hillerød vs Middelfart,1_Division,2025-07-19,DNK,NaN,NaN,NaN,true,true,NaN,true,NaN,NaN,NaN,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,59.0,25,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,98.6,50,NaN,NaN,NaN,NaN,0.012837241403758526,0.0,NaN,2,2,true,NaN,NaN,NaN,NaN,NaN,true,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
