contestantId,team_name,id,eventId,typeId,periodId,timeMin,timeSec,playerName,playerId,outcome,x,y,timeStamp,lastModified,assist,qualifier,match_id,label,date,15,16,17,18,20,22,23,25,26,28,29,56,62,63,64,72,73,74,75,76,78,79,80,81,82,83,84,100,101,102,103,108,113,114,122,146,147,153,154,160,214,215,230,231,233,280,281,282,321,322,323,324,326,327,328,338,362,374,375,391,395,396,458,468,472,sequenceId,possessionId,keyPass,140,141,318,210,6,9,24,107,61,68,85,276
b2vft81kyjurzbmekvgrqwr64,Hobro,2702476495,143,16,1,13,47,F. Christensen,9b89pmcjk6re94bjp0ixeatjo,1,96.5,48.8,2024-07-21T14:16:44.503,2024-07-23T14:29:36,1.0,"{""id"": 5112680691, ""qualifierId"": 230, ""value"": ""99.3""}",5wg9cdczccjfgs2hctntatt04,Hillerød vs Hobro,2024-07-21,NaN,true,NaN,NaN,true,true,NaN,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,49.3,26.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,true,NaN,99.3,46.6,NaN,NaN,NaN,NaN,0.39976736903190613,0.9446,NaN,NaN,3,2,true,NaN,NaN,2024-07-21 15:16:44.277,13:47.668,NaN,1.0,51.6,NaN,NaN,NaN,,,,,,,,,,,,,,,
b2vft81kyjurzbmekvgrqwr64,Hobro,2702481831,247,13,1,29,34,J. Cornelius,8gdfn7j6xac9p4jh94hk40jdg,1,76.4,51.4,2024-07-21T14:32:31.670,2024-07-21T14:33:42,1.0,"{""id"": 5112712733, ""qualifierId"": 83}",5wg9cdczccjfgs2hctntatt04,Hillerød vs Hobro,2024-07-21,NaN,NaN,NaN,true,true,NaN,true,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,58.7,4.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,96.5,49.1,NaN,NaN,NaN,NaN,0.06406670808792114,NaN,NaN,NaN,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,
b2vft81kyjurzbmekvgrqwr64,Hobro,2702484071,287,13,1,34,20,M. Kristensen,bp232fgjrfyok2471ec7u1tcl,1,81.4,37.9,2024-07-21T14:37:16.921,2024-07-21T14:38:32,1.0,"{""id"": 5112726867, ""qualifierId"": 231, ""value"": ""47.1""}",5wg9cdczccjfgs2hctntatt04,Hillerød vs Hobro,2024-07-21,NaN,NaN,NaN,true,true,true,NaN,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,58.3,4.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,97.1,47.1,NaN,NaN,NaN,NaN,0.050216544419527054,NaN,NaN,NaN,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,
aqtkb4mgrz8c6iqfufj6qjbv9,Hillerød,2702480069,302,13,1,24,22,M. Bruhn,8gqvlydur0v4cpmz1ozqkejh0,1,89.0,52.8,2024-07-21T14:27:19.244,2024-07-23T15:29:18,1.0,"{""id"": 5112700701, ""qualifierId"": 22}",5wg9cdczccjfgs2hctntatt04,Hillerød vs Hobro,2024-07-21,true,NaN,true,NaN,NaN,true,NaN,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,68.6,13.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,99.3,50.4,NaN,NaN,NaN,NaN,0.03418095409870148,NaN,NaN,NaN,3,2,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,
aqtkb4mgrz8c6iqfufj6qjbv9,Hillerød,2702480805,311,15,1,26,37,A. Justinussen,uiyol728wan4mxco2foplknp,1,86.8,74.4,2024-07-21T14:29:33.690,2024-07-23T15:29:14,1.0,"{""id"": 5112705293, ""qualifierId"": 22}",5wg9cdczccjfgs2hctntatt04,Hillerød vs Hobro,2024-07-21,NaN,NaN,NaN,NaN,true,true,NaN,NaN,NaN,NaN,true,Center,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50.6,26.6,NaN,NaN,NaN,NaN,98.8,52.5,NaN,NaN,NaN,NaN,true,NaN,NaN,220,NaN,NaN,NaN,0.025744302198290825,0.0489,NaN,true,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,
b2vft81kyjurzbmekvgrqwr64,Hobro,2702486405,320,15,1,39,3,J. Cornelius,8gdfn7j6xac9p4jh94hk40jdg,1,88.7,31.7,2024-07-21T14:42:00.423,2024-07-23T16:29:51,1.0,"{""id"": 5112741833, ""qualifierId"": 80}",5wg9cdczccjfgs2hctntatt04,Hillerød vs Hobro,2024-07-21,NaN,NaN,NaN,NaN,true,NaN,true,NaN,NaN,NaN,true,Center,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,47.4,12.7,NaN,NaN,NaN,NaN,97.6,46.4,NaN,true,NaN,NaN,NaN,NaN,NaN,446,NaN,NaN,NaN,0.05395490303635597,0.1323,NaN,NaN,3,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,
b2vft81kyjurzbmekvgrqwr64,Hobro,2702487189,335,13,1,40,31,O. Overgaard,1f510mbuc4i1mmshqlgim5u6s,1,76.0,53.4,2024-07-21T14:43:28.535,2024-07-21T14:44:39,NaN,"{""id"": 5112746131, ""qualifierId"": 56, ""value"": ""Center""}",5wg9cdczccjfgs2hctntatt04,Hillerød vs Hobro,2024-07-21,NaN,NaN,NaN,true,true,true,NaN,NaN,NaN,NaN,NaN,Center,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,48.4,69.4,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,96.4,49.3,NaN,NaN,NaN,NaN,0.028024107217788696,NaN,NaN,NaN,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,,,,,,,,,,,,,,,
aqtkb4mgrz8c6iqfufj6qjbv9,Hillerød,2702481519,336,15,1,28,44,M. Bruhn,8gqvlydur0v4cpmz1ozqkejh0,1,82.7,36.8,2024-07-21T14:31:41.530,2024-07-23T15:29:16,1.0,"{""id"": 5112710809, ""qualifierId"": 103, ""value"": ""25.3""}",5wg9cdczccjfgs2hctntatt04,Hillerød vs Hobro,2024-07-21,NaN,NaN,NaN,true,true,NaN,true,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50.5,25.3,NaN,NaN,NaN,NaN,96.2,46.8,NaN,true,NaN,NaN,true,NaN,NaN,242,NaN,NaN,NaN,0.08897284418344498,0.0606,NaN,NaN,2,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,
aqtkb4mgrz8c6iqfufj6qjbv9,Hillerød,2702483453,378,13,1,33,13,J. Witt,5z7y55t2o577r8ki3i5855as,1,92.4,53.8,2024-07-21T14:36:10.390,2024-07-23T15:29:13,1.0,"{""id"": 5112722387, ""qualifierId"": 56, ""value"": ""Center""}",5wg9cdczccjfgs2hctntatt04,Hillerød vs Hobro,2024-07-21,true,NaN,true,NaN,NaN,NaN,NaN,true,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,54.3,84.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,98.5,49.6,NaN,NaN,NaN,NaN,0.10727523267269135,NaN,NaN,NaN,2,3,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,
b2vft81kyjurzbmekvgrqwr64,Hobro,2702489543,384,13,1,45,17,F. Christensen,9b89pmcjk6re94bjp0ixeatjo,1,86.9,47.8,2024-07-21T14:48:14.302,2024-07-23T16:30:17,1.0,"{""id"": 5112759741, ""qualifierId"": 29}",5wg9cdczccjfgs2hctntatt04,Hillerød vs Hobro,2024-07-21,true,NaN,true,NaN,NaN,true,NaN,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50.4,62.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,96.0,50.5,NaN,NaN,NaN,NaN,0.08413908630609512,NaN,NaN,NaN,1,1,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,
