contestantId,team_name,id,eventId,typeId,periodId,timeMin,timeSec,playerName,playerId,outcome,x,y,timeStamp,lastModified,assist,qualifier,match_id,label,date,15,16,17,18,19,20,22,23,24,25,26,28,29,56,62,63,64,72,73,74,75,76,78,79,80,81,82,83,84,100,101,102,103,108,113,122,146,147,153,154,214,215,230,231,233,280,281,282,321,322,323,324,326,327,328,338,362,374,375,391,458,468,472
b2vft81kyjurzbmekvgrqwr64,Hobro,2702476495,143,16,1,13,47,F. Christensen,9b89pmcjk6re94bjp0ixeatjo,1,96.5,48.8,2024-07-21T14:16:44.503,2024-07-21T14:18:11,1.0,"{""id"": 5112680689, ""qualifierId"": 328}",5wg9cdczccjfgs2hctntatt04,Hillerød vs Hobro,2024-07-21,NaN,true,NaN,NaN,NaN,true,true,NaN,NaN,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,49.3,26.6,NaN,NaN,NaN,NaN,NaN,NaN,true,true,NaN,99.7,48.9,NaN,NaN,NaN,NaN,0.34659695625305176,0.9446,NaN,NaN,3,2,true,NaN,NaN,2024-07-21 15:16:44.277,13:47.668,NaN,NaN,NaN,NaN
b2vft81kyjurzbmekvgrqwr64,Hobro,2702481831,247,13,1,29,34,J. Cornelius,8gdfn7j6xac9p4jh94hk40jdg,1,76.4,51.4,2024-07-21T14:32:31.670,2024-07-21T14:33:42,1.0,"{""id"": 5112712741, ""qualifierId"": 102, ""value"": ""58.7""}",5wg9cdczccjfgs2hctntatt04,Hillerød vs Hobro,2024-07-21,NaN,NaN,NaN,true,NaN,true,NaN,true,NaN,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,58.7,4.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,96.5,49.1,NaN,NaN,NaN,NaN,0.06406670808792114,NaN,NaN,NaN,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
b2vft81kyjurzbmekvgrqwr64,Hobro,2702484071,287,13,1,34,20,M. Kristensen,bp232fgjrfyok2471ec7u1tcl,1,81.4,37.9,2024-07-21T14:37:16.921,2024-07-21T14:38:32,1.0,"{""id"": 5112726867, ""qualifierId"": 231, ""value"": ""47.1""}",5wg9cdczccjfgs2hctntatt04,Hillerød vs Hobro,2024-07-21,NaN,NaN,NaN,true,NaN,true,true,NaN,NaN,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,58.3,4.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,97.1,47.1,NaN,NaN,NaN,NaN,0.050216544419527054,NaN,NaN,NaN,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
aqtkb4mgrz8c6iqfufj6qjbv9,Hillerød,2702480069,302,13,1,24,22,M. Bruhn,8gqvlydur0v4cpmz1ozqkejh0,1,88.0,51.7,2024-07-21T14:27:19.244,2024-07-21T14:29:47,1.0,"{""id"": 5112700701, ""qualifierId"": 22}",5wg9cdczccjfgs2hctntatt04,Hillerød vs Hobro,2024-07-21,true,NaN,true,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,65.4,38.9,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,99.3,50.4,NaN,NaN,NaN,NaN,0.02953440323472023,NaN,NaN,NaN,3,2,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
aqtkb4mgrz8c6iqfufj6qjbv9,Hillerød,2702480805,311,15,1,26,37,A. Justinussen,uiyol728wan4mxco2foplknp,1,85.8,74.1,2024-07-21T14:29:33.690,2024-07-21T14:30:42,1.0,"{""id"": 5112705293, ""qualifierId"": 22}",5wg9cdczccjfgs2hctntatt04,Hillerød vs Hobro,2024-07-21,NaN,NaN,NaN,NaN,NaN,true,true,NaN,NaN,NaN,NaN,NaN,true,Center,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50.6,26.6,NaN,NaN,NaN,98.8,52.5,NaN,NaN,NaN,true,NaN,NaN,220,NaN,NaN,NaN,0.026256294921040535,0.0487,NaN,true,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
b2vft81kyjurzbmekvgrqwr64,Hobro,2702486405,320,15,1,39,3,J. Cornelius,8gdfn7j6xac9p4jh94hk40jdg,1,86.6,32.7,2024-07-21T14:42:00.423,2024-07-21T14:43:20,1.0,"{""id"": 5112741837, ""qualifierId"": 154}",5wg9cdczccjfgs2hctntatt04,Hillerød vs Hobro,2024-07-21,NaN,NaN,NaN,NaN,NaN,true,NaN,true,NaN,NaN,NaN,NaN,true,Center,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,47.4,12.7,NaN,NaN,NaN,97.6,46.4,NaN,true,NaN,NaN,NaN,NaN,446,NaN,NaN,NaN,0.07133113592863083,0.0955,NaN,NaN,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
b2vft81kyjurzbmekvgrqwr64,Hobro,2702487189,335,13,1,40,31,O. Overgaard,1f510mbuc4i1mmshqlgim5u6s,1,76.0,53.4,2024-07-21T14:43:28.535,2024-07-21T14:44:39,NaN,"{""id"": 5112746133, ""qualifierId"": 327, ""value"": ""2""}",5wg9cdczccjfgs2hctntatt04,Hillerød vs Hobro,2024-07-21,NaN,NaN,NaN,true,NaN,true,true,NaN,NaN,NaN,NaN,NaN,NaN,Center,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,48.4,69.4,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,96.4,49.3,NaN,NaN,NaN,NaN,0.028024107217788696,NaN,NaN,NaN,2,2,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN
aqtkb4mgrz8c6iqfufj6qjbv9,Hillerød,2702481519,336,15,1,28,44,M. Bruhn,8gqvlydur0v4cpmz1ozqkejh0,1,81.5,37.8,2024-07-21T14:31:41.530,2024-07-21T14:32:52,1.0,"{""id"": 5112710809, ""qualifierId"": 103, ""value"": ""24.1""}",5wg9cdczccjfgs2hctntatt04,Hillerød vs Hobro,2024-07-21,NaN,NaN,NaN,true,NaN,true,NaN,true,NaN,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,49.8,24.1,NaN,NaN,NaN,97.6,46.6,NaN,true,NaN,true,NaN,NaN,242,NaN,NaN,NaN,0.12561389803886414,0.04,NaN,NaN,2,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
aqtkb4mgrz8c6iqfufj6qjbv9,Hillerød,2702483453,378,13,1,33,13,J. Witt,5z7y55t2o577r8ki3i5855as,1,91.6,50.6,2024-07-21T14:36:10.390,2024-07-21T14:37:20,1.0,"{""id"": 5112722387, ""qualifierId"": 56, ""value"": ""Center""}",5wg9cdczccjfgs2hctntatt04,Hillerød vs Hobro,2024-07-21,true,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,54.3,84.7,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,98.5,49.6,NaN,NaN,NaN,NaN,0.09951834380626678,NaN,NaN,NaN,2,3,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
b2vft81kyjurzbmekvgrqwr64,Hobro,2702489543,384,13,1,45,17,F. Christensen,9b89pmcjk6re94bjp0ixeatjo,1,86.9,47.8,2024-07-21T14:48:14.302,2024-07-21T14:49:24,1.0,"{""id"": 5112759741, ""qualifierId"": 29}",5wg9cdczccjfgs2hctntatt04,Hillerød vs Hobro,2024-07-21,true,NaN,true,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50.4,62.5,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,96.0,50.5,NaN,NaN,NaN,NaN,0.0802198126912117,NaN,NaN,NaN,1,2,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
