label,team_name,date,PPDA
B 93 vs Kolding,B 93,2024-07-19,11.666666666666666
Hvidovre vs HB Køge,Hvidovre,2024-07-19,5.285714285714286
Hvidovre vs HB Køge,HB Køge,2024-07-19,26.4
Vendsyssel vs Roskilde,Roskilde,2024-07-19,10.035714285714286
Vendsyssel vs Roskilde,Vendsyssel,2024-07-19,17.923076923076923
B 93 vs Kolding,Kolding,2024-07-19,13.551724137931034
Esbjerg vs OB,OB,2024-07-20,8.28
Esbjerg vs OB,Esbjerg,2024-07-20,10.655172413793103
Hillerød vs Hobro,Hillerød,2024-07-21,5.105263157894737
Hillerød vs Hobro,Hobro,2024-07-21,20.5
Horsens vs Fredericia,Fredericia,2024-07-21,10.870967741935484
Horsens vs Fredericia,Horsens,2024-07-21,9.2
HB Køge vs OB,OB,2024-07-26,4.84375
Hobro vs Esbjerg,Esbjerg,2024-07-26,15.842105263157896
Horsens vs Hillerød,Hillerød,2024-07-26,8.481481481481481
Horsens vs Hillerød,Horsens,2024-07-26,7.857142857142857
Kolding vs Hvidovre,Hvidovre,2024-07-26,12.058823529411764
Kolding vs Hvidovre,Kolding,2024-07-26,7.8125
HB Køge vs OB,HB Køge,2024-07-26,28.153846153846153
Hobro vs Esbjerg,Hobro,2024-07-26,8.878787878787879
