Type,PlayerId,Team,Position,ControlArea,TotalControlArea,CenterControlArea,PenaltyAreaControl,Frames,label,date
Player,L. Schulz,Vendsyssel,GK,194598913.13991776,194598913.13991776,109142679.82186165,72433400.11264431,146317,Fredericia vs Vendsyssel,2024-07-27
Player,M. Lamhauge,Fredericia,GK,142122049.22655255,142122049.22655255,67720142.49514814,63861905.79221155,146317,Fredericia vs Vendsyssel,2024-07-27
Player,G. Mortensen,Vendsyssel,LB,54321051.831604145,54321051.831604145,48850185.72060752,2297920.00718356,113395,Fredericia vs Vendsyssel,2024-07-27
Player,A. Dahl,Fredericia,RB,52716445.067220986,52716445.067220986,43015600.524102375,4794094.368178387,135357,Fredericia vs Vendsyssel,2024-07-27
Player,O. Jebali,Vendsyssel,LCB,43234248.94430858,43234248.94430858,37938488.51472731,3631823.3316815374,146317,Fredericia vs Vendsyssel,2024-07-27
Player,M. Lassen,Vendsyssel,RB,41986060.723919675,41986060.723919675,36132655.02168582,2784625.688188236,146317,Fredericia vs Vendsyssel,2024-07-27
Player,F. Rieper,Fredericia,RCB,40185046.34195956,40185046.34195956,31863119.741897676,5651505.490176972,146317,Fredericia vs Vendsyssel,2024-07-27
Player,A. Mucolli,Fredericia,LW,34934618.364590004,34934618.364590004,29496649.241024856,2130364.85585786,134653,Fredericia vs Vendsyssel,2024-07-27
Player,J. Kudsk,Fredericia,LCB,33216893.578938738,33216893.578938738,26804952.302335598,4166091.3234279607,146317,Fredericia vs Vendsyssel,2024-07-27
Player,L. Jensen,Vendsyssel,RW,32920730.36413589,32920730.36413589,26428872.856117915,3118789.292103574,146317,Fredericia vs Vendsyssel,2024-07-27
Player,M. Greve,Vendsyssel,RCB,32240953.68392541,32240953.68392541,28400242.08484037,2517852.3789516836,116609,Fredericia vs Vendsyssel,2024-07-27
Player,J. Jessen,Fredericia,LB,30107554.587863326,30107554.587863326,25460846.78012341,2004596.854929452,146317,Fredericia vs Vendsyssel,2024-07-27
Player,M. Kaastrup,Vendsyssel,LW,18045782.704546917,18045782.704546917,16257365.93548286,887788.8541099223,91393,Fredericia vs Vendsyssel,2024-07-27
Player,A. Simon Okosun,Vendsyssel,RDM,17976738.58480366,17976738.58480366,15534587.463382803,1711727.3841879934,146317,Fredericia vs Vendsyssel,2024-07-27
Player,O. Ohlenschlaeger,Vendsyssel,LDM,17745718.020350836,17745718.020350836,16312026.492740702,929211.1375676473,146317,Fredericia vs Vendsyssel,2024-07-27
Player,M. Haarup,Vendsyssel,SUB,17643803.541052,17643803.541052,16443274.402290333,469124.8144266151,32552,Fredericia vs Vendsyssel,2024-07-27
Player,O. Buch,Fredericia,RW,16997737.445959564,16997737.445959564,15460214.702439412,819746.9037259272,71221,Fredericia vs Vendsyssel,2024-07-27
Player,A. Bondergaard,Fredericia,CF,16873840.134662278,16873840.134662278,13176865.573844446,2638571.5051177237,110427,Fredericia vs Vendsyssel,2024-07-27
Player,G. Marcussen,Fredericia,LCM,16560982.428404927,16560982.428404927,14089486.422517486,1340707.3418998078,146317,Fredericia vs Vendsyssel,2024-07-27
Player,W. Madsen,Fredericia,CDM,13671346.283584468,13671346.283584468,12119656.16259368,1090627.008172629,146317,Fredericia vs Vendsyssel,2024-07-27
Player,K. Kusk,Vendsyssel,CAM,12250311.556424003,12250311.556424003,10020901.830910234,725971.9989154054,113765,Fredericia vs Vendsyssel,2024-07-27
Player,L. Steffensen,Vendsyssel,ST,11945224.756241005,11945224.756241005,9271208.908521574,1915794.6281190875,91406,Fredericia vs Vendsyssel,2024-07-27
Player,D. Kristjansson,Fredericia,SUB,10746270.749315647,10746270.749315647,8434387.936229652,915901.7857063515,40241,Fredericia vs Vendsyssel,2024-07-27
Player,J. Lindekilde,Fredericia,RCM,10519025.212570963,10519025.212570963,8532196.82542794,1408249.6579515096,106076,Fredericia vs Vendsyssel,2024-07-27
Player,P. Egelund,Fredericia,SUB,9312269.522939038,9312269.522939038,8361424.7476186855,675020.414346383,75096,Fredericia vs Vendsyssel,2024-07-27
Player,E. Dall,Fredericia,SUB,9209896.805009766,9209896.805009766,8467134.416300567,314289.57185348397,35890,Fredericia vs Vendsyssel,2024-07-27
Player,F. Borsting,Vendsyssel,SUB,9175835.108644934,9175835.108644934,7886927.928315347,593299.7778449671,54911,Fredericia vs Vendsyssel,2024-07-27
Player,M. Hannesbo,Vendsyssel,SUB,8895374.585905634,8895374.585905634,7791509.1917395005,676137.5873772975,54924,Fredericia vs Vendsyssel,2024-07-27
Player,J. Brinch,Fredericia,SUB,3483227.3833524007,3483227.3833524007,3059860.503895775,152001.4836869224,10960,Fredericia vs Vendsyssel,2024-07-27
Player,V. Mpindi,Vendsyssel,SUB,3017511.4042571527,3017511.4042571527,2885960.9482981004,126638.19493451844,29708,Fredericia vs Vendsyssel,2024-07-27
Player,A. Ahmad,Vendsyssel,SUB,2965876.7489178986,2965876.7489178986,2417154.436626678,441309.41392077965,32922,Fredericia vs Vendsyssel,2024-07-27
Player,D. Thogersen,Fredericia,SUB,1239821.9687846776,1239821.9687846776,1127022.0405181975,94784.65103582742,11664,Fredericia vs Vendsyssel,2024-07-27
Team,None,Vendsyssel,None,nan,nan,2677.160149252205,322.6952875002855,None,Fredericia vs Vendsyssel,2024-07-27
Team,None,Fredericia,None,nan,nan,2167.824384152353,316.9899063914037,None,Fredericia vs Vendsyssel,2024-07-27
Player,M. Delac,Horsens,GK,158762157.12264112,158762157.12264112,74676907.13359338,71393716.8647345,142170,Horsens vs Fredericia,2024-07-21
Player,M. Lamhauge,Fredericia,GK,158526175.30757588,158526175.30757588,74130447.68625572,72413420.81316946,142170,Horsens vs Fredericia,2024-07-21
Player,A. Dahl,Fredericia,RB,58162534.837364,58162534.837364,51491926.51244348,2353720.294109381,142170,Horsens vs Fredericia,2024-07-21
Player,J. Madsen,Horsens,LB,46607302.30170629,46607302.30170629,40538304.84295494,2882650.238433846,142170,Horsens vs Fredericia,2024-07-21
Player,J. Jessen,Fredericia,LB,43612756.48202484,43612756.48202484,39002912.69069504,2024483.2640765754,122968,Horsens vs Fredericia,2024-07-21
