sequence_id,receiver_Uuid,receiver_name,receiver_position,game_id,match_id,team_name,period,poss_player_Uuid,poss_player_name,poss_player_position,deep_run_opportunity,deep_run,pass_received,Low base,High base,Width,Pocket,num_teammates_in_box,poss_in_assist_zone,option_between_lines,time_on_ball,gameclock_first,gameclock_last,timemin_first,timemin_last,timesec_first,timesec_last,possessor_x,possessor_y,receiver_x,receiver_y,local_date,description
1,52vwj2s29n7wngablotd7pboq,J. AEgidius,GK,66070e76-2442-4491-a5e1-af38e3d46ece,bu0ez9a5mhcxh9c23fny7d7h0,LBK,1,4bstdc3zla1sn85ev3bcmw1lg,T. Storm,RCB,False,False,False,True,False,False,False,0,False,False,True,1.4,2.4,0,0,1,2,-17.75,-2.45,-45.92,-0.1,2025-07-20,Esbjerg vs Lyngby
1,6d0lxiep13vdv32bdb0xwyrys,L. Sandgrav,LM,66070e76-2442-4491-a5e1-af38e3d46ece,bu0ez9a5mhcxh9c23fny7d7h0,LBK,1,4bstdc3zla1sn85ev3bcmw1lg,T. Storm,RCB,False,False,False,True,False,False,False,0,False,False,True,1.4,2.4,0,0,1,2,-17.75,-2.45,3.72,25.91,2025-07-20,Esbjerg vs Lyngby
1,6zhj070huc77sl5o5bx6ey5g4,G. Fraulo,RM,66070e76-2442-4491-a5e1-af38e3d46ece,bu0ez9a5mhcxh9c23fny7d7h0,LBK,1,4bstdc3zla1sn85ev3bcmw1lg,T. Storm,RCB,False,False,False,True,False,False,False,0,False,True,True,1.4,2.4,0,0,1,2,-17.75,-2.45,0.84,-13.97,2025-07-20,Esbjerg vs Lyngby
1,79b0b6eqck5vn4b3fawxsaok,P. Langhoff,RCM,66070e76-2442-4491-a5e1-af38e3d46ece,bu0ez9a5mhcxh9c23fny7d7h0,LBK,1,4bstdc3zla1sn85ev3bcmw1lg,T. Storm,RCB,False,False,False,True,False,False,False,0,False,False,True,1.4,2.4,0,0,1,2,-17.75,-2.45,-7.41,-6.14,2025-07-20,Esbjerg vs Lyngby
1,8822s8ns7oyvjqade4oaxzg0l,O. Buur,RB,66070e76-2442-4491-a5e1-af38e3d46ece,bu0ez9a5mhcxh9c23fny7d7h0,LBK,1,4bstdc3zla1sn85ev3bcmw1lg,T. Storm,RCB,False,False,False,True,False,False,False,0,False,False,True,1.4,2.4,0,0,1,2,-17.75,-2.45,-2.45,-12.81,2025-07-20,Esbjerg vs Lyngby
1,8gdfn7j6xac9p4jh94hk40jdg,J. Cornelius,LF,66070e76-2442-4491-a5e1-af38e3d46ece,bu0ez9a5mhcxh9c23fny7d7h0,LBK,1,4bstdc3zla1sn85ev3bcmw1lg,T. Storm,RCB,False,False,True,True,False,False,False,0,False,True,True,1.4,2.4,0,0,1,2,-17.75,-2.45,7.98,11.18,2025-07-20,Esbjerg vs Lyngby
1,b13l1wrb747y9cdc8wqltan6d,M. Hebo,LCM,66070e76-2442-4491-a5e1-af38e3d46ece,bu0ez9a5mhcxh9c23fny7d7h0,LBK,1,4bstdc3zla1sn85ev3bcmw1lg,T. Storm,RCB,False,False,False,True,False,False,False,0,False,False,True,1.4,2.4,0,0,1,2,-17.75,-2.45,-6.25,9.9,2025-07-20,Esbjerg vs Lyngby
1,bvw5oc4c040ey5dt5wn0choiy,G. Mortensen,LB,66070e76-2442-4491-a5e1-af38e3d46ece,bu0ez9a5mhcxh9c23fny7d7h0,LBK,1,4bstdc3zla1sn85ev3bcmw1lg,T. Storm,RCB,False,False,False,True,False,False,False,0,False,False,True,1.4,2.4,0,0,1,2,-17.75,-2.45,-12.34,21.5,2025-07-20,Esbjerg vs Lyngby
1,deyq3zqd0vwc821ngqldxqor9,F. Gytkjaer,RF,66070e76-2442-4491-a5e1-af38e3d46ece,bu0ez9a5mhcxh9c23fny7d7h0,LBK,1,4bstdc3zla1sn85ev3bcmw1lg,T. Storm,RCB,False,False,False,True,False,False,False,0,False,True,True,1.4,2.4,0,0,1,2,-17.75,-2.45,2.98,-0.45,2025-07-20,Esbjerg vs Lyngby
1,eq15hjcxpdrl5vca2q7s4tr3e,M. Ivancevic,LCB,66070e76-2442-4491-a5e1-af38e3d46ece,bu0ez9a5mhcxh9c23fny7d7h0,LBK,1,4bstdc3zla1sn85ev3bcmw1lg,T. Storm,RCB,False,False,False,True,False,False,False,0,False,False,True,1.4,2.4,0,0,1,2,-17.75,-2.45,-14.87,5.28,2025-07-20,Esbjerg vs Lyngby
