contestantId,team_name,id,eventId,typeId,periodId,timeMin,timeSec,playerName,playerId,outcome,x,y,timeStamp,lastModified,assist,qualifier,match_id,label,league_name,date,country,15,16,17,18,20,22,24,25,26,29,56,60,63,64,68,72,73,75,76,78,80,81,82,83,84,86,89,100,102,103,108,114,120,121,146,147,153,154,160,214,215,230,231,233,321,322,326,327,328,374,375,391,395,396,458,468,sequenceId,possessionId,keyPass,140,141,318,210,23,6,9,107,61,74,77,79,133,136,254,280,281,282,323,324,338,472,85,62,101,138,216,217,274,275,300,273,87,139,21,137,353,390,65,71
dbl7ir1qugqz8nvp1vzn8im50,OB,2702053365,17,13,1,1,18,B. Paulsen,dqtarwrqvkopmzbt2ovp2dln9,1,95.7,41.0,2024-07-20T14:03:44.914,2024-07-20T14:04:58,1.0,"{""id"": 5110288399, ""qualifierId"": 60}",5vjn0dtuqrd9fmnqncz9uxn9w,Esbjerg vs OB,Challenger_Pro_League,2024-07-20,BEL,NaN,NaN,NaN,NaN,true,NaN,true,NaN,NaN,true,Center,true,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,39.8,5.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,true,NaN,99.3,47.7,NaN,0.14433224499225616,NaN,3,1,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dbl7ir1qugqz8nvp1vzn8im50,OB,2702053453,22,13,1,1,39,W. Martin,15jhbyn4wsbd865fd9djcwaok,1,78.1,58.9,2024-07-20T14:04:05.587,2024-07-22T14:30:12,1.0,"{""id"": 5110289115, ""qualifierId"": 230, ""value"": ""98.6""}",5vjn0dtuqrd9fmnqncz9uxn9w,Esbjerg vs OB,Challenger_Pro_League,2024-07-20,BEL,NaN,NaN,NaN,true,NaN,true,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,true,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,40.5,2.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,98.6,52.3,NaN,0.04752464219927788,NaN,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f1h34qp5zbfl489q8vnkhiq9s,Esbjerg,2702054297,43,15,1,4,10,N. Strunck,auv81snxkpk2ybxzi8giy5azt,1,76.5,61.1,2024-07-20T14:06:36.382,2024-07-22T14:30:06,NaN,"{""id"": 5110293171, ""qualifierId"": 22}",5vjn0dtuqrd9fmnqncz9uxn9w,Esbjerg vs OB,Challenger_Pro_League,2024-07-20,BEL,NaN,NaN,NaN,true,true,true,NaN,NaN,NaN,NaN,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,54.1,4.4,NaN,NaN,NaN,NaN,99.0,50.5,NaN,NaN,NaN,NaN,true,NaN,NaN,53,0.04107305407524109,0.2897,1,2,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dbl7ir1qugqz8nvp1vzn8im50,OB,2702056969,125,15,1,11,1,L. Kjerrumgaard,axyrfq1u8nwcj2ss5498u8qhg,1,88.9,53.6,2024-07-20T14:13:27.752,2024-07-22T15:30:01,1.0,"{""id"": 5110307453, ""qualifierId"": 327, ""value"": ""1""}",5vjn0dtuqrd9fmnqncz9uxn9w,Esbjerg vs OB,Challenger_Pro_League,2024-07-20,BEL,true,NaN,true,NaN,NaN,true,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,49.7,13.9,NaN,NaN,NaN,NaN,97.2,50.9,NaN,true,NaN,true,NaN,NaN,NaN,95,0.09610741585493088,0.1705,2,1,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dbl7ir1qugqz8nvp1vzn8im50,OB,2702059153,170,16,1,16,24,L. Deedson,5wmik73cqursg7sv3w14ue5pm,1,90.1,50.9,2024-07-20T14:18:50.103,2024-07-22T15:29:32,1.0,"{""id"": 5110320733, ""qualifierId"": 375, ""value"": ""16:23.408""}",5vjn0dtuqrd9fmnqncz9uxn9w,Esbjerg vs OB,Challenger_Pro_League,2024-07-20,BEL,NaN,NaN,true,NaN,NaN,true,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,46.1,5.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,true,NaN,92.3,63,NaN,0.1442861258983612,0.8909,3,2,true,2024-07-20 15:18:49.478,16:23.408,NaN,7.7,37.2,NaN,2702059147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f1h34qp5zbfl489q8vnkhiq9s,Esbjerg,2702060065,172,15,1,18,35,T. Stagaard,c7buy99bjqmkmno8w5t0189d6,1,90.5,59.3,2024-07-20T14:21:01.379,2024-07-22T15:29:48,1.0,"{""id"": 5110325413, ""qualifierId"": 102, ""value"": ""51.8""}",5vjn0dtuqrd9fmnqncz9uxn9w,Esbjerg vs OB,Challenger_Pro_League,2024-07-20,BEL,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,true,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,51.8,9.7,NaN,true,NaN,NaN,92.0,59.2,NaN,NaN,true,NaN,NaN,99.4,51.3,214,0.07347482442855835,NaN,3,3,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f1h34qp5zbfl489q8vnkhiq9s,Esbjerg,2702064911,276,13,1,31,22,E. Sørensen,9xxdec5pv5plas9ve4ehs4nop,1,92.0,45.4,2024-07-20T14:33:48.707,2024-07-22T15:29:35,1.0,"{""id"": 5110350661, ""qualifierId"": 17}",5vjn0dtuqrd9fmnqncz9uxn9w,Esbjerg vs OB,Challenger_Pro_League,2024-07-20,BEL,NaN,NaN,true,NaN,true,true,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,95.8,22.2,true,NaN,NaN,NaN,96.4,77.4,true,true,NaN,NaN,NaN,99.9,49.6,NaN,0.2621036171913147,NaN,2,1,true,NaN,NaN,true,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dbl7ir1qugqz8nvp1vzn8im50,OB,2702065139,308,15,1,32,4,L. Deedson,5wmik73cqursg7sv3w14ue5pm,1,80.1,26.7,2024-07-20T14:34:31.200,2024-07-20T14:35:40,1.0,"{""id"": 5110351955, ""qualifierId"": 321, ""value"": ""0.012535903602838516""}",5vjn0dtuqrd9fmnqncz9uxn9w,Esbjerg vs OB,Challenger_Pro_League,2024-07-20,BEL,NaN,NaN,NaN,true,NaN,true,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,true,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,51.9,13.3,NaN,NaN,NaN,NaN,98.1,49.1,NaN,NaN,NaN,NaN,true,NaN,NaN,280,0.012535903602838516,0.0679,3,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f1h34qp5zbfl489q8vnkhiq9s,Esbjerg,2702067377,331,13,1,37,21,E. Sørensen,9xxdec5pv5plas9ve4ehs4nop,1,74.4,68.0,2024-07-20T14:39:47.167,2024-07-20T14:41:31,1.0,"{""id"": 5110364283, ""qualifierId"": 29}",5vjn0dtuqrd9fmnqncz9uxn9w,Esbjerg vs OB,Challenger_Pro_League,2024-07-20,BEL,NaN,NaN,NaN,true,true,true,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,37.0,68.1,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,99.7,50.5,NaN,0.01646498590707779,NaN,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f1h34qp5zbfl489q8vnkhiq9s,Esbjerg,2702068301,345,13,1,39,32,A. Lausen,ate1ymumg2iwzn8uyyf3ts222,1,72.9,49.3,2024-07-20T14:41:58.515,2024-07-22T15:29:37,NaN,"{""id"": 5110368991, ""qualifierId"": 26}",5vjn0dtuqrd9fmnqncz9uxn9w,Esbjerg vs OB,Challenger_Pro_League,2024-07-20,BEL,NaN,NaN,NaN,true,true,NaN,NaN,NaN,true,NaN,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,42.5,1.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,99.1,50.7,NaN,0.04803859069943428,NaN,1,3,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
