team_name,timeMin,timeSec,playerName,label,date,typeId,44.0,292.0,293.0
Kolding,45,0,M. Saaby,Kolding vs AaB,2025-07-19,18,Midfielder,NaN,NaN
Kolding,45,0,J. Vadstrup,Kolding vs AaB,2025-07-19,19,Midfielder,7,3
AaB,63,10,F. Børsting,Kolding vs AaB,2025-07-19,18,Midfielder,NaN,NaN
AaB,63,10,V. Møller,Kolding vs AaB,2025-07-19,19,Midfielder,6,3
Kolding,70,29,V. Westh,Kolding vs AaB,2025-07-19,18,Midfielder,NaN,NaN
Kolding,70,29,F. Møller,Kolding vs AaB,2025-07-19,19,Midfielder,6,4
Kolding,70,30,I. Tånnander,Kolding vs AaB,2025-07-19,18,Midfielder,NaN,NaN
Kolding,70,30,M. Døj,Kolding vs AaB,2025-07-19,19,Midfielder,7,2
AaB,71,10,M. Nielsen,Kolding vs AaB,2025-07-19,18,Defender,NaN,NaN
AaB,71,10,B. Skovgaard,Kolding vs AaB,2025-07-19,19,Forward,9,3
AaB,71,17,O. Ross,Kolding vs AaB,2025-07-19,18,Forward,NaN,NaN
AaB,71,17,N. Arnórsson,Kolding vs AaB,2025-07-19,19,Midfielder,6,4
AaB,71,23,K. John,Kolding vs AaB,2025-07-19,18,Forward,NaN,NaN
AaB,71,23,A. Maarup,Kolding vs AaB,2025-07-19,19,Forward,9,3
AaB,78,50,M. Kallesøe,Kolding vs AaB,2025-07-19,18,Defender,NaN,NaN
AaB,78,50,A. Jasson,Kolding vs AaB,2025-07-19,19,Defender,3,2
Kolding,92,8,S. Yatéké,Kolding vs AaB,2025-07-19,18,Forward,NaN,NaN
Kolding,92,8,M. Pedersen,Kolding vs AaB,2025-07-19,19,Forward,9,3
AaB,39,17,M. Kallesøe,Hillerød vs AaB,2025-07-26,18,Defender,NaN,NaN
AaB,39,17,N. Arnórsson,Hillerød vs AaB,2025-07-26,19,Defender,4,4
AaB,56,34,V. Møller,Hillerød vs AaB,2025-07-26,18,Midfielder,NaN,NaN
AaB,56,34,A. Maarup,Hillerød vs AaB,2025-07-26,19,Midfielder,6,4
AaB,56,43,O. Ross,Hillerød vs AaB,2025-07-26,18,Forward,NaN,NaN
AaB,56,43,A. Jasson,Hillerød vs AaB,2025-07-26,19,Forward,9,1
Hillerød,58,27,V. Dedes,Hillerød vs AaB,2025-07-26,18,Defender,NaN,NaN
Hillerød,58,27,L. Bøje-Larsen,Hillerød vs AaB,2025-07-26,19,Midfielder,7,1
Hillerød,58,31,N. Schmidt,Hillerød vs AaB,2025-07-26,18,Midfielder,NaN,NaN
Hillerød,58,31,H. Toftegaard,Hillerød vs AaB,2025-07-26,19,Midfielder,7,5
Hillerød,58,43,T. Arndal,Hillerød vs AaB,2025-07-26,18,Midfielder,NaN,NaN
Hillerød,58,43,S. Jalaei,Hillerød vs AaB,2025-07-26,19,Forward,10,3
Hillerød,73,0,A. Justinussen,Hillerød vs AaB,2025-07-26,18,Forward,NaN,NaN
Hillerød,73,0,M. Veltz,Hillerød vs AaB,2025-07-26,19,Forward,9,2
AaB,80,21,K. John,Hillerød vs AaB,2025-07-26,18,Forward,NaN,NaN
AaB,80,21,B. Skovgaard,Hillerød vs AaB,2025-07-26,19,Forward,9,3
Hillerød,80,31,M. Mouritz,Hillerød vs AaB,2025-07-26,18,Midfielder,NaN,NaN
Hillerød,80,31,A. Alicino,Hillerød vs AaB,2025-07-26,19,Midfielder,7,5
AaB,81,21,M. Bomholt,Hillerød vs AaB,2025-07-26,18,Midfielder,NaN,NaN
AaB,81,21,M. Jiménez,Hillerød vs AaB,2025-07-26,19,Midfielder,7,5
AaB,20,28,M. Bomholt,AaB vs Hobro,2025-08-01,18,Midfielder,NaN,NaN
AaB,20,28,A. Jasson,AaB vs Hobro,2025-08-01,19,Midfielder,6,3
Hobro,66,47,M. Bruhn,AaB vs Hobro,2025-08-01,18,Forward,NaN,NaN
Hobro,66,47,S. Andreasen,AaB vs Hobro,2025-08-01,19,Forward,9,1
AaB,74,26,E. Makolli,AaB vs Hobro,2025-08-01,18,Defender,NaN,NaN
AaB,74,26,M. Jiménez,AaB vs Hobro,2025-08-01,19,Midfielder,5,5
AaB,74,31,V. Møller,AaB vs Hobro,2025-08-01,18,Midfielder,NaN,NaN
AaB,74,31,A. Maarup,AaB vs Hobro,2025-08-01,19,Midfielder,7,5
Hobro,79,53,M. Pedersen,AaB vs Hobro,2025-08-01,18,Midfielder,NaN,NaN
Hobro,79,53,O. Meedom,AaB vs Hobro,2025-08-01,19,Midfielder,7,5
AaB,87,35,O. Ross,AaB vs Hobro,2025-08-01,18,Forward,NaN,NaN
AaB,87,35,B. Skovgaard,AaB vs Hobro,2025-08-01,19,Midfielder,6,1
Esbjerg,45,0,J. Lucena,Esbjerg vs AaB,2025-08-19,18,Forward,NaN,NaN
Esbjerg,45,0,M. Brajanac,Esbjerg vs AaB,2025-08-19,19,Midfielder,6,4
AaB,45,0,M. Bomholt,Esbjerg vs AaB,2025-08-19,18,Midfielder,NaN,NaN
AaB,45,0,O. Ross,Esbjerg vs AaB,2025-08-19,19,Midfielder,7,3
Esbjerg,58,4,J. Ankersen,Esbjerg vs AaB,2025-08-19,18,Forward,NaN,NaN
Esbjerg,58,4,M. Maden,Esbjerg vs AaB,2025-08-19,19,Forward,9,3
Esbjerg,58,20,J. Buus,Esbjerg vs AaB,2025-08-19,18,Defender,NaN,NaN
Esbjerg,58,20,P. Tjørnelund,Esbjerg vs AaB,2025-08-19,19,Midfielder,7,3
AaB,62,32,N. Helenius,Esbjerg vs AaB,2025-08-19,18,Forward,NaN,NaN
AaB,62,32,A. Maarup,Esbjerg vs AaB,2025-08-19,19,Forward,9,3
AaB,62,59,F. Børsting,Esbjerg vs AaB,2025-08-19,18,Midfielder,NaN,NaN
AaB,62,59,V. Møller,Esbjerg vs AaB,2025-08-19,19,Midfielder,7,5
Esbjerg,76,52,P. Bjur,Esbjerg vs AaB,2025-08-19,18,Midfielder,NaN,NaN
Esbjerg,76,52,M. Hansen,Esbjerg vs AaB,2025-08-19,19,Midfielder,6,2
Esbjerg,82,57,A. Lausen,Esbjerg vs AaB,2025-08-19,18,Midfielder,NaN,NaN
Esbjerg,82,57,T. Stagaard,Esbjerg vs AaB,2025-08-19,19,Midfielder,7,4
AaB,84,36,M. Nielsen,Esbjerg vs AaB,2025-08-19,18,Defender,NaN,NaN
AaB,84,36,N. Arnórsson,Esbjerg vs AaB,2025-08-19,19,Midfielder,5,1
Horsens,45,0,S. Doua,AaB vs Horsens,2025-08-15,18,Defender,NaN,NaN
Horsens,45,0,A. Saine,AaB vs Horsens,2025-08-15,19,Midfielder,7,2
Horsens,45,0,S. Hausner,AaB vs Horsens,2025-08-15,18,Defender,NaN,NaN
Horsens,45,0,F. Roslyng,AaB vs Horsens,2025-08-15,19,Defender,4,3
AaB,53,10,F. Børsting,AaB vs Horsens,2025-08-15,18,Midfielder,NaN,NaN
AaB,53,10,A. Maarup,AaB vs Horsens,2025-08-15,19,Forward,8,2
AaB,53,12,O. Ross,AaB vs Horsens,2025-08-15,18,Forward,NaN,NaN
AaB,53,12,N. Helenius,AaB vs Horsens,2025-08-15,19,Forward,9,3
Horsens,67,22,S. Pingel,AaB vs Horsens,2025-08-15,18,Forward,NaN,NaN
Horsens,67,22,F. Sene,AaB vs Horsens,2025-08-15,19,Forward,9,3
Horsens,67,26,I. Miličević,AaB vs Horsens,2025-08-15,18,Defender,NaN,NaN
Horsens,67,26,J. Madsen,AaB vs Horsens,2025-08-15,19,Midfielder,7,1
AaB,67,34,M. Nielsen,AaB vs Horsens,2025-08-15,18,Defender,NaN,NaN
AaB,67,34,N. Arnórsson,AaB vs Horsens,2025-08-15,19,Midfielder,7,4
AaB,77,27,V. Møller,AaB vs Horsens,2025-08-15,18,Midfielder,NaN,NaN
AaB,77,27,A. Diagne,AaB vs Horsens,2025-08-15,19,Midfielder,6,2
AaB,77,32,B. Pudel,AaB vs Horsens,2025-08-15,18,Defender,NaN,NaN
AaB,77,32,C. Olsson,AaB vs Horsens,2025-08-15,19,Defender,4,4
