team_name,contestantId,match_id,id,eventId,typeId,timeMin,timeSec,outcome,x,y,playerName,sequenceId,possessionId,keyPass,assist,label,date,140.0,141.0,318.0,321.0,322.0,210.0,212.0,213.0,223.0,224.0,225.0,22.0,23.0,5.0,6.0,9.0,19.0,24.0,25.0,26.0,28.0,107.0,44.0,292.0,293.0,sequence_duration,sequence_xG,receiverId,receiverName,match_state,clock_sec,set_piece_index,set_piece_type
Kolding,b8oqgvx1ijeyn6y1cn6929ix4,bs7i18mhro0d46fg5m0727rpw,2827833527,8,1,0,36,0,85.2,-1.5,C. Vestergaard,2.0,1.0,NaN,NaN,Kolding vs AaB,2025-07-19,89.6,46.9,NaN,NaN,NaN,NaN,33.2,1.4,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,,true,NaN,NaN,NaN,0.0,0.0,,,draw,36,1,throw_in
Kolding,b8oqgvx1ijeyn6y1cn6929ix4,bs7i18mhro0d46fg5m0727rpw,2827835405,60,1,5,0,1,83.5,101.2,C. Vestergaard,18.0,11.0,NaN,NaN,Kolding vs AaB,2025-07-19,85.7,52.2,0.01026089,NaN,NaN,NaN,33.4,4.8,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,,true,NaN,NaN,NaN,4.0,0.0,6bajck5osvj7trnwt2a5mc3dg,I. Tånnander,draw,300,1,throw_in
Kolding,b8oqgvx1ijeyn6y1cn6929ix4,bs7i18mhro0d46fg5m0727rpw,2827835411,61,44,5,3,1,85.6,53.4,I. Tånnander,18.0,11.0,NaN,NaN,Kolding vs AaB,2025-07-19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,4.0,0.0,,,draw,303,2,throw_in
Kolding,b8oqgvx1ijeyn6y1cn6929ix4,bs7i18mhro0d46fg5m0727rpw,2827835431,62,1,5,4,0,85.9,51.3,I. Tånnander,18.0,11.0,NaN,NaN,Kolding vs AaB,2025-07-19,98.0,35.4,NaN,NaN,NaN,NaN,16.7,5.6,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,4.0,0.0,,,draw,304,3,throw_in
AaB,36g6ifzjliec1jqnbtf7yesme,bs7i18mhro0d46fg5m0727rpw,2827835867,59,1,5,54,1,68.7,-1.4,M. Kallesøe,22.0,12.0,NaN,NaN,Kolding vs AaB,2025-07-19,55.7,10.1,0.00003496,NaN,NaN,NaN,15.7,2.6,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,,true,NaN,NaN,NaN,12.0,0.1329995095729828,697f50qoetodmfe8ybcuey2ac,E. Makolli,draw,354,1,throw_in
AaB,36g6ifzjliec1jqnbtf7yesme,bs7i18mhro0d46fg5m0727rpw,2827836299,74,1,7,18,1,35.3,49.3,F. Børsting,25.0,14.0,NaN,NaN,Kolding vs AaB,2025-07-19,26.5,39.4,0.00000616,NaN,NaN,NaN,11.4,3.8,NaN,NaN,NaN,NaN,,true,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,19.0,0.0,697f50qoetodmfe8ybcuey2ac,E. Makolli,draw,438,1,freekick
Kolding,b8oqgvx1ijeyn6y1cn6929ix4,bs7i18mhro0d46fg5m0727rpw,2827836799,87,1,8,46,0,99.6,99.5,C. Jørgensen,32.0,17.0,NaN,NaN,Kolding vs AaB,2025-07-19,82.1,37.8,NaN,NaN,NaN,NaN,45.8,4.3,NaN,true,NaN,NaN,,NaN,true,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,0.0,0.0,,,draw,526,1,corner
AaB,36g6ifzjliec1jqnbtf7yesme,bs7i18mhro0d46fg5m0727rpw,2827836979,94,1,9,6,1,9.4,48.1,V. Müller,33.0,18.0,NaN,NaN,Kolding vs AaB,2025-07-19,14.8,63.7,0.00000069,NaN,NaN,NaN,12.0,1.1,NaN,NaN,NaN,NaN,,true,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,7.0,0.0,5uo9saax5iqsctxq7w3si8w0k,C. Olsson,draw,546,1,freekick
AaB,36g6ifzjliec1jqnbtf7yesme,bs7i18mhro0d46fg5m0727rpw,2827838115,121,1,11,41,1,99.5,0.5,O. Ross,40.0,22.0,NaN,NaN,Kolding vs AaB,2025-07-19,93.8,16.5,0.00126039,NaN,NaN,NaN,12.4,2.1,NaN,NaN,NaN,NaN,,NaN,true,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,2.0,0.0,5y2mfgruizah0ylcz7q1abw9g,A. Håpnes,draw,701,1,corner
AaB,36g6ifzjliec1jqnbtf7yesme,bs7i18mhro0d46fg5m0727rpw,2827838121,122,1,11,43,0,92.0,19.7,A. Håpnes,40.0,22.0,NaN,NaN,Kolding vs AaB,2025-07-19,96.6,38.6,NaN,NaN,NaN,NaN,13.7,1.2,NaN,true,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,2.0,0.0,,,draw,703,2,corner
