playerName,playerId,contestantId,team_name,318.0,9.0,24.0,25.0,26.0,label,match_id,date
M. Rochester,444n8m1tirk6lp739iigw42c5,8cfkisxf1fkxdqtt6tx1tup48,HB Køge,0.00000706,NaN,NaN,NaN,,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,2025-07-18
T. Hansen,e0rgqk3gxzs005m9ok9hvp1ck,b2vft81kyjurzbmekvgrqwr64,Hobro,0.00031202,NaN,NaN,NaN,,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,2025-07-18
L. Klitten,ea2x4o6ufsqoz2zz7tqcnvo16,b2vft81kyjurzbmekvgrqwr64,Hobro,0.00125921,NaN,NaN,NaN,,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,2025-07-18
G. Larsen,3mgrufy83uhzs9liw8pwxi784,8cfkisxf1fkxdqtt6tx1tup48,HB Køge,0.00040215,NaN,NaN,NaN,,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,2025-07-18
M. Schütt,k43cten7yb6p59yo0firhb84,8cfkisxf1fkxdqtt6tx1tup48,HB Køge,0.00051967,NaN,NaN,NaN,,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,2025-07-18
S. Larsen,4m7gr5z6b40dj02yrmlwgeluc,8cfkisxf1fkxdqtt6tx1tup48,HB Køge,0.00012899,NaN,NaN,NaN,,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,2025-07-18
L. Bust,6gmm4awyvlf9p7jr9dvnmp0tm,8cfkisxf1fkxdqtt6tx1tup48,HB Køge,0.00034883,NaN,NaN,NaN,,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,2025-07-18
M. Rochester,444n8m1tirk6lp739iigw42c5,8cfkisxf1fkxdqtt6tx1tup48,HB Køge,0.00159801,NaN,NaN,NaN,,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,2025-07-18
F. Dietz,ebd3uvtt54wkdsahc2127j02c,b2vft81kyjurzbmekvgrqwr64,Hobro,0.00053032,NaN,NaN,NaN,,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,2025-07-18
H. Bonnesen,2pm5oqzyonn0dysa5nszgq3xm,8cfkisxf1fkxdqtt6tx1tup48,HB Køge,0.00055831,NaN,NaN,NaN,,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,2025-07-18
V. Rasmussen,dwuxps3jv2852642q000wep6,b2vft81kyjurzbmekvgrqwr64,Hobro,0.00046049,NaN,NaN,NaN,,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,2025-07-18
T. Hansen,e0rgqk3gxzs005m9ok9hvp1ck,b2vft81kyjurzbmekvgrqwr64,Hobro,0.00027437,NaN,NaN,NaN,,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,2025-07-18
V. Rasmussen,dwuxps3jv2852642q000wep6,b2vft81kyjurzbmekvgrqwr64,Hobro,0.00053888,NaN,NaN,NaN,,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,2025-07-18
G. Çulhacı,1icurh5jrnw1e6jdgqxjnhdnu,8cfkisxf1fkxdqtt6tx1tup48,HB Køge,0.02673952,NaN,NaN,NaN,,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,2025-07-18
F. Dietz,ebd3uvtt54wkdsahc2127j02c,b2vft81kyjurzbmekvgrqwr64,Hobro,0.00001727,NaN,NaN,NaN,,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,2025-07-18
J. Dakir,9yxhg70gpwi3e9s84c8qwg0yx,b2vft81kyjurzbmekvgrqwr64,Hobro,0.00000708,NaN,NaN,NaN,,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,2025-07-18
M. Jacobsen,6bv0j0ezhh9u5u5hqz64p790q,b2vft81kyjurzbmekvgrqwr64,Hobro,0.00002089,NaN,NaN,NaN,,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,2025-07-18
F. Dietz,ebd3uvtt54wkdsahc2127j02c,b2vft81kyjurzbmekvgrqwr64,Hobro,0.00006367,NaN,NaN,NaN,,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,2025-07-18
T. Hansen,e0rgqk3gxzs005m9ok9hvp1ck,b2vft81kyjurzbmekvgrqwr64,Hobro,0.00006311,NaN,NaN,NaN,,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,2025-07-18
O. Klitten,e19g5bz7s9wqcvj8mttztxi0a,b2vft81kyjurzbmekvgrqwr64,Hobro,0.00001468,NaN,NaN,NaN,,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,2025-07-18
M. Jacobsen,6bv0j0ezhh9u5u5hqz64p790q,b2vft81kyjurzbmekvgrqwr64,Hobro,0.00000766,NaN,NaN,NaN,,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,2025-07-18
T. Hansen,e0rgqk3gxzs005m9ok9hvp1ck,b2vft81kyjurzbmekvgrqwr64,Hobro,0.00010188,NaN,NaN,NaN,,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,2025-07-18
L. Klitten,ea2x4o6ufsqoz2zz7tqcnvo16,b2vft81kyjurzbmekvgrqwr64,Hobro,0.00098653,NaN,NaN,NaN,,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,2025-07-18
V. Rasmussen,dwuxps3jv2852642q000wep6,b2vft81kyjurzbmekvgrqwr64,Hobro,0.0002549,NaN,NaN,NaN,,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,2025-07-18
F. Dietz,ebd3uvtt54wkdsahc2127j02c,b2vft81kyjurzbmekvgrqwr64,Hobro,0.00028245,NaN,NaN,NaN,,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,2025-07-18
T. Hansen,e0rgqk3gxzs005m9ok9hvp1ck,b2vft81kyjurzbmekvgrqwr64,Hobro,0.00019338,NaN,NaN,NaN,,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,2025-07-18
F. Dietz,ebd3uvtt54wkdsahc2127j02c,b2vft81kyjurzbmekvgrqwr64,Hobro,0.00016069,NaN,NaN,NaN,,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,2025-07-18
V. Rasmussen,dwuxps3jv2852642q000wep6,b2vft81kyjurzbmekvgrqwr64,Hobro,0.00001738,NaN,NaN,NaN,,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,2025-07-18
J. Dakir,9yxhg70gpwi3e9s84c8qwg0yx,b2vft81kyjurzbmekvgrqwr64,Hobro,0.00000911,NaN,NaN,NaN,,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,2025-07-18
M. Jacobsen,6bv0j0ezhh9u5u5hqz64p790q,b2vft81kyjurzbmekvgrqwr64,Hobro,0.0000029,NaN,NaN,NaN,,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,2025-07-18
F. Dietz,ebd3uvtt54wkdsahc2127j02c,b2vft81kyjurzbmekvgrqwr64,Hobro,0.00003721,NaN,NaN,NaN,,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,2025-07-18
T. Hansen,e0rgqk3gxzs005m9ok9hvp1ck,b2vft81kyjurzbmekvgrqwr64,Hobro,0.00005286,NaN,NaN,NaN,,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,2025-07-18
O. Klitten,e19g5bz7s9wqcvj8mttztxi0a,b2vft81kyjurzbmekvgrqwr64,Hobro,0.000015,NaN,NaN,NaN,,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,2025-07-18
M. Jacobsen,6bv0j0ezhh9u5u5hqz64p790q,b2vft81kyjurzbmekvgrqwr64,Hobro,0.00001125,NaN,NaN,NaN,,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,2025-07-18
F. Dietz,ebd3uvtt54wkdsahc2127j02c,b2vft81kyjurzbmekvgrqwr64,Hobro,0.00001918,NaN,NaN,NaN,,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,2025-07-18
M. Jacobsen,6bv0j0ezhh9u5u5hqz64p790q,b2vft81kyjurzbmekvgrqwr64,Hobro,0.0000256,NaN,NaN,NaN,,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,2025-07-18
O. Klitten,e19g5bz7s9wqcvj8mttztxi0a,b2vft81kyjurzbmekvgrqwr64,Hobro,0.00058554,NaN,NaN,NaN,,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,2025-07-18
N. Jakobsen,4ti8pdx03j8dh4mdb626ltmvo,8cfkisxf1fkxdqtt6tx1tup48,HB Køge,0.00000093,NaN,NaN,NaN,,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,2025-07-18
C. Jensen,74m58jsznzu8l89b8h7rkh1bd,8cfkisxf1fkxdqtt6tx1tup48,HB Køge,0.00000043,NaN,NaN,NaN,,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,2025-07-18
F. Dietz,ebd3uvtt54wkdsahc2127j02c,b2vft81kyjurzbmekvgrqwr64,Hobro,0.00003963,NaN,NaN,NaN,,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,2025-07-18
M. Jacobsen,6bv0j0ezhh9u5u5hqz64p790q,b2vft81kyjurzbmekvgrqwr64,Hobro,0.00008636,NaN,NaN,NaN,,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,2025-07-18
E. Søgaard,cflwegqpzch8y30pb3dhigqnd,b2vft81kyjurzbmekvgrqwr64,Hobro,0.00006542,NaN,NaN,NaN,,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,2025-07-18
M. Jacobsen,6bv0j0ezhh9u5u5hqz64p790q,b2vft81kyjurzbmekvgrqwr64,Hobro,0.00007865,NaN,NaN,NaN,,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,2025-07-18
F. Dietz,ebd3uvtt54wkdsahc2127j02c,b2vft81kyjurzbmekvgrqwr64,Hobro,0.00010458,NaN,NaN,NaN,,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,2025-07-18
E. Søgaard,cflwegqpzch8y30pb3dhigqnd,b2vft81kyjurzbmekvgrqwr64,Hobro,0.00003825,NaN,NaN,NaN,,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,2025-07-18
M. Jacobsen,6bv0j0ezhh9u5u5hqz64p790q,b2vft81kyjurzbmekvgrqwr64,Hobro,0.00001164,NaN,NaN,NaN,,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,2025-07-18
F. Dietz,ebd3uvtt54wkdsahc2127j02c,b2vft81kyjurzbmekvgrqwr64,Hobro,0.00004279,NaN,NaN,NaN,,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,2025-07-18
M. Jacobsen,6bv0j0ezhh9u5u5hqz64p790q,b2vft81kyjurzbmekvgrqwr64,Hobro,0.00006859,NaN,NaN,NaN,,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,2025-07-18
T. Hansen,e0rgqk3gxzs005m9ok9hvp1ck,b2vft81kyjurzbmekvgrqwr64,Hobro,0.00001573,NaN,NaN,NaN,,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,2025-07-18
M. Jacobsen,6bv0j0ezhh9u5u5hqz64p790q,b2vft81kyjurzbmekvgrqwr64,Hobro,0.00000899,NaN,NaN,NaN,,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,2025-07-18
F. Dietz,ebd3uvtt54wkdsahc2127j02c,b2vft81kyjurzbmekvgrqwr64,Hobro,0.00001464,NaN,NaN,NaN,,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,2025-07-18
L. Klitten,ea2x4o6ufsqoz2zz7tqcnvo16,b2vft81kyjurzbmekvgrqwr64,Hobro,0.00001297,NaN,NaN,NaN,,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,2025-07-18
F. Dietz,ebd3uvtt54wkdsahc2127j02c,b2vft81kyjurzbmekvgrqwr64,Hobro,0.00000535,NaN,NaN,NaN,,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,2025-07-18
M. Jacobsen,6bv0j0ezhh9u5u5hqz64p790q,b2vft81kyjurzbmekvgrqwr64,Hobro,0.00002253,NaN,NaN,NaN,,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,2025-07-18
M. Westergren,7al9w77ailhli8g487tkl32tw,8cfkisxf1fkxdqtt6tx1tup48,HB Køge,0.00004707,NaN,NaN,NaN,,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,2025-07-18
H. Bonnesen,2pm5oqzyonn0dysa5nszgq3xm,8cfkisxf1fkxdqtt6tx1tup48,HB Køge,0.00002045,NaN,NaN,NaN,,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,2025-07-18
S. Larsen,4m7gr5z6b40dj02yrmlwgeluc,8cfkisxf1fkxdqtt6tx1tup48,HB Køge,0.00028286,NaN,NaN,NaN,,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,2025-07-18
G. Çulhacı,1icurh5jrnw1e6jdgqxjnhdnu,8cfkisxf1fkxdqtt6tx1tup48,HB Køge,0.00014942,NaN,NaN,NaN,,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,2025-07-18
M. Schütt,k43cten7yb6p59yo0firhb84,8cfkisxf1fkxdqtt6tx1tup48,HB Køge,0.00025733,NaN,NaN,NaN,,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,2025-07-18
G. Larsen,3mgrufy83uhzs9liw8pwxi784,8cfkisxf1fkxdqtt6tx1tup48,HB Køge,0.00049346,NaN,NaN,NaN,,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,2025-07-18
C. Jensen,74m58jsznzu8l89b8h7rkh1bd,8cfkisxf1fkxdqtt6tx1tup48,HB Køge,0.00021393,NaN,NaN,NaN,,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,2025-07-18
L. Bust,6gmm4awyvlf9p7jr9dvnmp0tm,8cfkisxf1fkxdqtt6tx1tup48,HB Køge,0.00017853,NaN,NaN,NaN,,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,2025-07-18
N. Jakobsen,4ti8pdx03j8dh4mdb626ltmvo,8cfkisxf1fkxdqtt6tx1tup48,HB Køge,0.00018866,NaN,NaN,NaN,,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,2025-07-18
M. Westergren,7al9w77ailhli8g487tkl32tw,8cfkisxf1fkxdqtt6tx1tup48,HB Køge,0.00009082,NaN,NaN,NaN,,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,2025-07-18
L. Bust,6gmm4awyvlf9p7jr9dvnmp0tm,8cfkisxf1fkxdqtt6tx1tup48,HB Køge,0.00185559,NaN,NaN,NaN,,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,2025-07-18
C. Jensen,74m58jsznzu8l89b8h7rkh1bd,8cfkisxf1fkxdqtt6tx1tup48,HB Køge,0.04286452,NaN,NaN,NaN,,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,2025-07-18
O. Klitten,e19g5bz7s9wqcvj8mttztxi0a,b2vft81kyjurzbmekvgrqwr64,Hobro,0.00000119,NaN,NaN,NaN,,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,2025-07-18
N. Jakobsen,4ti8pdx03j8dh4mdb626ltmvo,8cfkisxf1fkxdqtt6tx1tup48,HB Køge,0.00013737,NaN,NaN,NaN,,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,2025-07-18
G. Larsen,3mgrufy83uhzs9liw8pwxi784,8cfkisxf1fkxdqtt6tx1tup48,HB Køge,0.0003248,NaN,NaN,NaN,,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,2025-07-18
N. Jakobsen,4ti8pdx03j8dh4mdb626ltmvo,8cfkisxf1fkxdqtt6tx1tup48,HB Køge,0.00035193,NaN,NaN,NaN,,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,2025-07-18
G. Larsen,3mgrufy83uhzs9liw8pwxi784,8cfkisxf1fkxdqtt6tx1tup48,HB Køge,0.00004254,NaN,NaN,NaN,,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,2025-07-18
