sequence_id,receiver_Uuid,receiver_name,receiver_position,game_id,match_id,team_name,period,poss_player_Uuid,poss_player_name,poss_player_position,deep_run_opportunity,deep_run,pass_received,Low base,High base,Width,Pocket,num_teammates_in_box,poss_in_assist_zone,option_between_lines,time_on_ball,gameclock_first,gameclock_last,timemin_first,timemin_last,timesec_first,timesec_last,possessor_x,possessor_y,receiver_x,receiver_y,att_dir,local_date,description
1,3xz0h3d6r2qgmv9egms8yaz56,C. Vestergaard,RCB,7560bd37-5707-425d-b94f-1aaaad984edf,bs7i18mhro0d46fg5m0727rpw,KIF,1,8ewvm6ux4yvpwgrzjkc1chqwa,A. Norager,LCB,False,False,False,True,False,False,False,0,False,False,True,1.24,2.56,0,0,1,2,22.03,-2.3,6.1,21.4,False,2025-07-19,Kolding vs AaB
1,423hv4unq5vvnp7kecv6wp3is,M. Saaby,LDM,7560bd37-5707-425d-b94f-1aaaad984edf,bs7i18mhro0d46fg5m0727rpw,KIF,1,8ewvm6ux4yvpwgrzjkc1chqwa,A. Norager,LCB,False,False,True,True,False,False,False,0,False,False,True,1.24,2.56,0,0,1,2,22.03,-2.3,10.02,5.21,False,2025-07-19,Kolding vs AaB
1,4zpmxlmdfa5wx79cr0q14pfx1,M. Olsen,LWB,7560bd37-5707-425d-b94f-1aaaad984edf,bs7i18mhro0d46fg5m0727rpw,KIF,1,8ewvm6ux4yvpwgrzjkc1chqwa,A. Norager,LCB,False,False,False,True,False,False,False,0,False,False,True,1.24,2.56,0,0,1,2,22.03,-2.3,4.08,-22.66,False,2025-07-19,Kolding vs AaB
1,5u9zrgsm6wycfcbk04m64wd1w,N. Morberg,RDM,7560bd37-5707-425d-b94f-1aaaad984edf,bs7i18mhro0d46fg5m0727rpw,KIF,1,8ewvm6ux4yvpwgrzjkc1chqwa,A. Norager,LCB,False,False,False,True,False,False,False,0,False,False,True,1.24,2.56,0,0,1,2,22.03,-2.3,7.98,13.54,False,2025-07-19,Kolding vs AaB
1,6bajck5osvj7trnwt2a5mc3dg,I. Tannander,RWB,7560bd37-5707-425d-b94f-1aaaad984edf,bs7i18mhro0d46fg5m0727rpw,KIF,1,8ewvm6ux4yvpwgrzjkc1chqwa,A. Norager,LCB,False,False,False,True,False,False,False,0,False,False,True,1.24,2.56,0,0,1,2,22.03,-2.3,-5.83,27.26,False,2025-07-19,Kolding vs AaB
1,6sdv4s8oz558wfhx72vwlpvu2,L. Moser,GK,7560bd37-5707-425d-b94f-1aaaad984edf,bs7i18mhro0d46fg5m0727rpw,KIF,1,8ewvm6ux4yvpwgrzjkc1chqwa,A. Norager,LCB,False,False,False,True,False,False,False,0,False,False,True,1.24,2.56,0,0,1,2,22.03,-2.3,35.76,0.19,False,2025-07-19,Kolding vs AaB
1,8h3cyhuw5049gcxrsld3rw1ec,V. Westh,RAM,7560bd37-5707-425d-b94f-1aaaad984edf,bs7i18mhro0d46fg5m0727rpw,KIF,1,8ewvm6ux4yvpwgrzjkc1chqwa,A. Norager,LCB,False,False,False,True,False,False,False,0,False,False,True,1.24,2.56,0,0,1,2,22.03,-2.3,-3.53,21.18,False,2025-07-19,Kolding vs AaB
1,9fvf8z6p8ok0n5vu999ysfywa,C. Jorgensen,LAM,7560bd37-5707-425d-b94f-1aaaad984edf,bs7i18mhro0d46fg5m0727rpw,KIF,1,8ewvm6ux4yvpwgrzjkc1chqwa,A. Norager,LCB,False,False,False,True,False,False,False,0,False,False,True,1.24,2.56,0,0,1,2,22.03,-2.3,0.34,-2.06,False,2025-07-19,Kolding vs AaB
1,9ircna8pbskreztmy1wiqwx9m,S. Yateke,ST,7560bd37-5707-425d-b94f-1aaaad984edf,bs7i18mhro0d46fg5m0727rpw,KIF,1,8ewvm6ux4yvpwgrzjkc1chqwa,A. Norager,LCB,False,False,False,True,False,False,False,0,False,True,True,1.24,2.56,0,0,1,2,22.03,-2.3,-2.61,11.41,False,2025-07-19,Kolding vs AaB
1,dqssvdpt2iwg8qn9wto3miind,A. Leifsson,CB,7560bd37-5707-425d-b94f-1aaaad984edf,bs7i18mhro0d46fg5m0727rpw,KIF,1,8ewvm6ux4yvpwgrzjkc1chqwa,A. Norager,LCB,False,False,False,True,False,False,False,0,False,False,True,1.24,2.56,0,0,1,2,22.03,-2.3,18.47,9.21,False,2025-07-19,Kolding vs AaB
