contestantId,team_name,id,eventId,typeId,periodId,timeMin,timeSec,playerName,playerId,outcome,x,y,timeStamp,lastModified,qualifier,assist,match_id,label,league_name,date,country,15,16,17,18,20,22,24,25,29,56,61,62,64,72,73,76,77,78,79,80,81,82,83,84,85,100,102,103,108,113,114,133,136,146,147,154,160,214,215,216,217,230,231,233,321,322,324,326,327,328,374,375,395,396,458,sequenceId,possessionId,keyPass,140,141,318,210,23,6,9,26,107,19,60,63,74,75,87,153,323,338,391,468
ajtb177oqwawkdwbqhldmq6mx,B 93,2827646901,58,15,1,4,49,V. Hammershøy-Mistrati,e3n8xatusmgu7ttqpfdjanp3p,1,74.1,53.4,2025-07-18T17:05:09.093,2025-07-21T10:29:13,"{""id"": 5799124145, ""qualifierId"": 102, ""value"": ""48.2""}",NaN,bsnoje72zc76mcdjiutfqzthw,Hvidovre vs B 93,1_Division,2025-07-18,DNK,NaN,NaN,NaN,true,true,true,NaN,NaN,NaN,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,48.2,8.2,NaN,NaN,NaN,NaN,NaN,99.3,50.4,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,47,0.027727583423256874,0.035054903477430344,NaN,1,2,true,NaN,NaN,NaN,NaN,true,,,,,,,,,,,,,,,,,,,,,,,
ajtb177oqwawkdwbqhldmq6mx,B 93,2827647541,86,15,1,7,10,F. Isaki,86mx27krl6c613x6e3t9g3cic,1,91.5,41.3,2025-07-18T17:07:29.698,2025-07-18T17:38:05,"{""id"": 5799084937, ""qualifierId"": 56, ""value"": ""Center""}",1.0,bsnoje72zc76mcdjiutfqzthw,Hvidovre vs B 93,1_Division,2025-07-18,DNK,NaN,NaN,true,NaN,true,true,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,true,54.8,9.7,NaN,NaN,NaN,NaN,NaN,96.2,47.5,true,NaN,NaN,NaN,NaN,NaN,98.5,47.7,67,0.15853506326675415,0.0,NaN,2,2,true,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,
8gxd9ry2580pu1b1dd5ny9ymy,Hvidovre,2827648413,94,13,1,10,7,F. Høgh,9tt9eo9bsff7dp7aqjal1obo4,1,92.7,37.8,2025-07-18T17:10:27.181,2025-07-18T17:11:36,"{""id"": 5799090343, ""qualifierId"": 154}",1.0,bsnoje72zc76mcdjiutfqzthw,Hvidovre vs B 93,1_Division,2025-07-18,DNK,NaN,NaN,true,NaN,true,true,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,42.9,8.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,99.5,46.6,NaN,0.07872506976127625,0.0,NaN,3,2,true,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,
8gxd9ry2580pu1b1dd5ny9ymy,Hvidovre,2827650069,138,13,1,14,54,F. Høgh,9tt9eo9bsff7dp7aqjal1obo4,1,90.8,54.9,2025-07-18T17:15:14.116,2025-07-18T17:16:21,"{""id"": 5799099285, ""qualifierId"": 154}",1.0,bsnoje72zc76mcdjiutfqzthw,Hvidovre vs B 93,1_Division,2025-07-18,DNK,true,NaN,true,NaN,NaN,true,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,41.5,19.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,true,NaN,NaN,NaN,99.4,51.4,NaN,0.11748413741588593,0.0,NaN,1,1,true,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,
8gxd9ry2580pu1b1dd5ny9ymy,Hvidovre,2827655059,261,16,1,30,50,A. Okosun,a7eramyy1bd8msxmg84ctc8ut,1,98.3,50.3,2025-07-18T17:31:10.113,2025-07-18T20:25:29,"{""id"": 5804259153, ""qualifierId"": 396, ""value"": ""53.3""}",1.0,bsnoje72zc76mcdjiutfqzthw,Hvidovre vs B 93,1_Division,2025-07-18,DNK,true,true,NaN,NaN,NaN,NaN,true,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50.5,20.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,true,NaN,259,true,99.4,52.9,NaN,0.9767463207244873,0.9902980923652649,NaN,1,0,true,2025-07-18 18:31:10.005,30:50.741,99.1,53.3,NaN,,,,,,,,,,,,,,,,,,,,,,,
ajtb177oqwawkdwbqhldmq6mx,B 93,2827653735,268,16,1,26,29,M. Wohlgemuth,e8vt8711wb40afht2v13omket,1,77.8,57.0,2025-07-18T17:26:48.513,2025-07-21T12:20:19,"{""id"": 5799119359, ""qualifierId"": 375, ""value"": ""26:27.822""}",1.0,bsnoje72zc76mcdjiutfqzthw,Hvidovre vs B 93,1_Division,2025-07-18,DNK,NaN,NaN,NaN,true,true,true,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,46.3,25.9,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,98.6,50.5,NaN,0.06270795315504074,0.10715505480766296,NaN,1,2,NaN,2025-07-18 18:26:47.086,26:27.822,1.2,52.3,NaN,,,,,,,,,,,,,,,,,,,,,,,
ajtb177oqwawkdwbqhldmq6mx,B 93,2827662729,448,15,2,47,31,K. Grabovskis,3u184ybkonoa5ubxjzoy06ntg,1,73.1,42.3,2025-07-18T18:04:47.162,2025-07-21T11:29:12,"{""id"": 5799178413, ""qualifierId"": 233, ""value"": ""467""}",1.0,bsnoje72zc76mcdjiutfqzthw,Hvidovre vs B 93,1_Division,2025-07-18,DNK,NaN,NaN,NaN,true,true,true,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,54.4,20.9,NaN,NaN,NaN,NaN,NaN,97.7,48.4,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,467,0.01547430083155632,0.30767759680747986,NaN,3,2,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,
ajtb177oqwawkdwbqhldmq6mx,B 93,2827662789,453,13,2,48,9,E. Christensen,8xe0fufxfgf5cuwgysz3r2j85,1,91.8,47.2,2025-07-18T18:05:24.658,2025-07-18T18:06:33,"{""id"": 5799170859, ""qualifierId"": 15}",1.0,bsnoje72zc76mcdjiutfqzthw,Hvidovre vs B 93,1_Division,2025-07-18,DNK,true,NaN,true,NaN,NaN,NaN,NaN,true,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,51.1,58.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,99.5,49.1,NaN,0.06650397181510925,0.0,NaN,3,2,true,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,
ajtb177oqwawkdwbqhldmq6mx,B 93,2827664769,507,15,2,59,24,A. Ahmad,4csz412vb3lquessbnf999ct0,1,83.8,53.9,2025-07-18T18:16:39.511,2025-07-18T18:19:58,"{""id"": 5799184201, ""qualifierId"": 29}",1.0,bsnoje72zc76mcdjiutfqzthw,Hvidovre vs B 93,1_Division,2025-07-18,DNK,NaN,NaN,true,NaN,true,true,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,51.4,19,NaN,NaN,NaN,NaN,NaN,86.8,53.4,true,NaN,NaN,NaN,NaN,NaN,98.9,50.5,538,0.09430917352437973,0.0,NaN,2,2,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,
ajtb177oqwawkdwbqhldmq6mx,B 93,2827664805,510,15,2,59,32,C. Björk,x3ad9hfxts6jpfugy3kvq9d5,1,90.1,50.5,2025-07-18T18:16:48.308,2025-07-21T12:20:21,"{""id"": 5799182149, ""qualifierId"": 326, ""value"": ""2""}",1.0,bsnoje72zc76mcdjiutfqzthw,Hvidovre vs B 93,1_Division,2025-07-18,DNK,true,NaN,true,NaN,NaN,true,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,48.9,32.3,NaN,NaN,NaN,NaN,NaN,98.9,49.3,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,540,0.07834892719984055,0.10675905644893646,NaN,2,2,true,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,
